Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   157   49297   49298  156.50000  156.83333  157.50000   118   49717  117.50000  117.83333  118.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   157   49297   49298  156.50000  157.16667  157.50000   118   49717  117.50000  117.83333  118.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   158   49298   49299  157.50000  157.50000  158.50000   118   49718  117.50000  117.83333  118.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   158   49298   49299  157.50000  157.83333  158.50000   118   49718  117.50000  117.83333  118.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   158   49298   49299  157.50000  158.16667  158.50000   118   49718  117.50000  117.83333  118.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   159   49299   49300  158.50000  158.50000  159.50000   118   49719  117.50000  117.83333  118.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   159   49299   49300  158.50000  158.83333  159.50000   118   49719  117.50000  117.83333  118.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   159   49299   49300  158.50000  159.16667  159.50000   118   49719  117.50000  117.83333  118.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   160   49300   49301  159.50000  159.50000  160.50000   118   49720  117.50000  117.83333  118.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   160   49300   49301  159.50000  159.83333  160.50000   118   49720  117.50000  117.83333  118.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   160   49300   49301  159.50000  160.16667  160.50000   118   49720  117.50000  117.83333  118.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   161   49301   49302  160.50000  160.50000  161.50000   118   49721  117.50000  117.83333  118.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   161   49301   49302  160.50000  160.83333  161.50000   118   49721  117.50000  117.83333  118.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   161   49301   49302  160.50000  161.16667  161.50000   118   49721  117.50000  117.83333  118.50000
0000015  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   162   49302   49303  161.50000  161.50000  162.50000   118   49722  117.50000  117.83333  118.50000
0000016  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   162   49302   49303  161.50000  161.83333  162.50000   118   49722  117.50000  117.83333  118.50000
0000017  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   162   49302   49303  161.50000  162.16667  162.50000   118   49722  117.50000  117.83333  118.50000
0000018  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   163   49303   49304  162.50000  162.50000  163.50000   118   49723  117.50000  117.83333  118.50000
0000019  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   163   49303   49304  162.50000  162.83333  163.50000   118   49723  117.50000  117.83333  118.50000
0000020  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   163   49303   49304  162.50000  163.16667  163.50000   118   49723  117.50000  117.83333  118.50000
0000021  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   164   49304   49305  163.50000  163.50000  164.50000   118   49724  117.50000  117.83333  118.50000
0000022  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   164   49304   49305  163.50000  163.83333  164.50000   118   49724  117.50000  117.83333  118.50000
0000023  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   164   49304   49305  163.50000  164.16667  164.50000   118   49724  117.50000  117.83333  118.50000
0000024  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   165   49305   49306  164.50000  164.50000  165.50000   118   49725  117.50000  117.83333  118.50000
0000025  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   165   49305   49306  164.50000  164.83333  165.50000   118   49725  117.50000  117.83333  118.50000
0000026  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   165   49305   49306  164.50000  165.16667  165.50000   118   49725  117.50000  117.83333  118.50000
0000027  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   166   49306   49307  165.50000  165.50000  166.50000   118   49726  117.50000  117.83333  118.50000
0000028  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   166   49306   49307  165.50000  165.83333  166.50000   118   49726  117.50000  117.83333  118.50000
0000029  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   166   49306   49307  165.50000  166.16667  166.50000   118   49726  117.50000  117.83333  118.50000
0000030  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   167   49307   49308  166.50000  166.50000  167.50000   118   49727  117.50000  117.83333  118.50000
0000031  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   167   49307   49308  166.50000  166.83333  167.50000   118   49727  117.50000  117.83333  118.50000
