Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   157   49297   49298  156.50000  156.83333  157.50000   119   49717  118.00000  118.00000  119.00000
0000002  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   157   49297   49298  156.50000  157.16667  157.50000   119   49717  118.00000  118.00000  119.00000
0000003  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   158   49298   49299  157.50000  157.50000  158.50000   119   49718  118.00000  118.00000  119.00000
0000004  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   158   49298   49299  157.50000  157.83333  158.50000   119   49718  118.00000  118.00000  119.00000
0000005  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   158   49298   49299  157.50000  158.16667  158.50000   119   49718  118.00000  118.00000  119.00000
0000006  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   159   49299   49300  158.50000  158.50000  159.50000   119   49719  118.00000  118.00000  119.00000
0000007  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   159   49299   49300  158.50000  158.83333  159.50000   119   49719  118.00000  118.00000  119.00000
0000008  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   159   49299   49300  158.50000  159.16667  159.50000   119   49719  118.00000  118.00000  119.00000
0000009  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   160   49300   49301  159.50000  159.50000  160.50000   119   49720  118.00000  118.00000  119.00000
0000010  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   160   49300   49301  159.50000  159.83333  160.50000   119   49720  118.00000  118.00000  119.00000
0000011  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   160   49300   49301  159.50000  160.16667  160.50000   119   49720  118.00000  118.00000  119.00000
0000012  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   161   49301   49302  160.50000  160.50000  161.50000   119   49721  118.00000  118.00000  119.00000
0000013  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   161   49301   49302  160.50000  160.83333  161.50000   119   49721  118.00000  118.00000  119.00000
0000014  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   161   49301   49302  160.50000  161.16667  161.50000   119   49721  118.00000  118.00000  119.00000
0000015  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   162   49302   49303  161.50000  161.50000  162.50000   119   49722  118.00000  118.00000  119.00000
0000016  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   162   49302   49303  161.50000  161.83333  162.50000   119   49722  118.00000  118.00000  119.00000
0000017  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   162   49302   49303  161.50000  162.16667  162.50000   119   49722  118.00000  118.00000  119.00000
0000018  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   163   49303   49304  162.50000  162.50000  163.50000   119   49723  118.00000  118.00000  119.00000
