Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   215   60935   60936  214.50000  214.83333  215.50000   121   61441  120.50000  120.83333  121.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   215   60935   60936  214.50000  215.16667  215.50000   121   61441  120.50000  120.83333  121.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   216   60936   60937  215.50000  215.50000  216.50000   121   61442  120.50000  120.83333  121.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   216   60936   60937  215.50000  215.83333  216.50000   121   61442  120.50000  120.83333  121.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   216   60936   60937  215.50000  216.16667  216.50000   121   61442  120.50000  120.83333  121.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   217   60937   60938  216.50000  216.50000  217.50000   121   61443  120.50000  120.83333  121.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   217   60937   60938  216.50000  216.83333  217.50000   121   61443  120.50000  120.83333  121.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   217   60937   60938  216.50000  217.16667  217.50000   121   61443  120.50000  120.83333  121.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   218   60938   60939  217.50000  217.50000  218.50000   121   61444  120.50000  120.83333  121.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   218   60938   60939  217.50000  217.83333  218.50000   121   61444  120.50000  120.83333  121.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   218   60938   60939  217.50000  218.16667  218.50000   121   61444  120.50000  120.83333  121.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   219   60939   60940  218.50000  218.50000  219.50000   121   61445  120.50000  120.83333  121.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   219   60939   60940  218.50000  218.83333  219.50000   121   61445  120.50000  120.83333  121.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   219   60939   60940  218.50000  219.16667  219.50000   121   61445  120.50000  120.83333  121.50000
0000015  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   220   60940   60941  219.50000  219.50000  220.50000   121   61446  120.50000  120.83333  121.50000
0000016  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   220   60940   60941  219.50000  219.83333  220.50000   121   61446  120.50000  120.83333  121.50000
0000017  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   220   60940   60941  219.50000  220.16667  220.50000   121   61446  120.50000  120.83333  121.50000
0000018  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   221   60941   60942  220.50000  220.50000  221.50000   121   61447  120.50000  120.83333  121.50000
0000019  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   221   60941   60942  220.50000  220.83333  221.50000   121   61447  120.50000  120.83333  121.50000
0000020  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   221   60941   60942  220.50000  221.16667  221.50000   121   61447  120.50000  120.83333  121.50000
0000021  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   222   60942   60943  221.50000  221.50000  222.50000   121   61448  120.50000  120.83333  121.50000
0000022  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   222   60942   60943  221.50000  221.83333  222.50000   121   61448  120.50000  120.83333  121.50000
0000023  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   222   60942   60943  221.50000  222.16667  222.50000   121   61448  120.50000  120.83333  121.50000
0000024  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   223   60943   60944  222.50000  222.50000  223.50000   121   61449  120.50000  120.83333  121.50000
0000025  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   223   60943   60944  222.50000  222.83333  223.50000   121   61449  120.50000  120.83333  121.50000
0000026  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   223   60943   60944  222.50000  223.16667  223.50000   121   61449  120.50000  120.83333  121.50000
0000027  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   224   60944   60945  223.50000  223.50000  224.50000   121   61450  120.50000  120.83333  121.50000
0000028  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   224   60944   60945  223.50000  223.83333  224.50000   121   61450  120.50000  120.83333  121.50000
0000029  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   224   60944   60945  223.50000  224.16667  224.50000   121   61450  120.50000  120.83333  121.50000
0000030  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   225   60945   60946  224.50000  224.50000  225.50000   121   61451  120.50000  120.83333  121.50000
0000031  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   225   60945   60946  224.50000  224.83333  225.50000   121   61451  120.50000  120.83333  121.50000
0000032  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   225   60945   60946  224.50000  225.16667  225.50000   121   61451  120.50000  120.83333  121.50000
0000033  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   226   60946   60947  225.50000  225.50000  226.50000   121   61452  120.50000  120.83333  121.50000
0000034  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   226   60946   60947  225.50000  225.83333  226.50000   121   61452  120.50000  120.83333  121.50000
0000035  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   226   60946   60947  225.50000  226.16667  226.50000   121   61452  120.50000  120.83333  121.50000
0000036  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   227   60947   60948  226.50000  226.50000  227.50000   121   61453  120.50000  120.83333  121.50000
0000037  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   227   60947   60948  226.50000  226.83333  227.50000   121   61453  120.50000  120.83333  121.50000
0000038  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   227   60947   60948  226.50000  227.16667  227.50000   121   61453  120.50000  120.83333  121.50000
0000039  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   228   60948   60949  227.50000  227.50000  228.50000   121   61454  120.50000  120.83333  121.50000
0000040  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   228   60948   60949  227.50000  227.83333  228.50000   121   61454  120.50000  120.83333  121.50000
0000041  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   228   60948   60949  227.50000  228.16667  228.50000   121   61454  120.50000  120.83333  121.50000
0000042  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   229   60949   60950  228.50000  228.50000  229.50000   121   61455  120.50000  120.83333  121.50000
0000043  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   229   60949   60950  228.50000  228.83333  229.50000   121   61455  120.50000  120.83333  121.50000
0000044  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   229   60949   60950  228.50000  229.16667  229.50000   121   61455  120.50000  120.83333  121.50000
0000045  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   230   60950   60951  229.50000  229.50000  230.50000   121   61456  120.50000  120.83333  121.50000
0000046  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   230   60950   60951  229.50000  229.83333  230.50000   121   61456  120.50000  120.83333  121.50000
0000047  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   230   60950   60951  229.50000  230.16667  230.50000   121   61456  120.50000  120.83333  121.50000
0000048  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   231   60951   60952  230.50000  230.50000  231.50000   121   61457  120.50000  120.83333  121.50000
0000049  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   231   60951   60952  230.50000  230.83333  231.50000   121   61457  120.50000  120.83333  121.50000
0000050  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   231   60951   60952  230.50000  231.16667  231.50000   121   61457  120.50000  120.83333  121.50000
0000051  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   232   60952   60953  231.50000  231.50000  232.50000   121   61458  120.50000  120.83333  121.50000
0000052  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   232   60952   60953  231.50000  231.83333  232.50000   121   61458  120.50000  120.83333  121.50000
0000053  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   232   60952   60953  231.50000  232.16667  232.50000   121   61458  120.50000  120.83333  121.50000
0000054  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   233   60953   60954  232.50000  232.50000  233.50000   121   61459  120.50000  120.83333  121.50000
0000055  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   233   60953   60954  232.50000  232.83333  233.50000   121   61459  120.50000  120.83333  121.50000
0000056  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   233   60953   60954  232.50000  233.16667  233.50000   121   61459  120.50000  120.83333  121.50000
0000057  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   234   60954   60955  233.50000  233.50000  234.50000   121   61460  120.50000  120.83333  121.50000
0000058  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   234   60954   60955  233.50000  233.83333  234.50000   121   61460  120.50000  120.83333  121.50000
0000059  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   234   60954   60955  233.50000  234.16667  234.50000   121   61460  120.50000  120.83333  121.50000
0000060  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   235   60955   60956  234.50000  234.50000  235.50000   121   61461  120.50000  120.83333  121.50000
0000061  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   235   60955   60956  234.50000  234.83333  235.50000   121   61461  120.50000  120.83333  121.50000
0000062  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   235   60955   60956  234.50000  235.16667  235.50000   121   61461  120.50000  120.83333  121.50000
0000063  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   236   60956   60957  235.50000  235.50000  236.50000   121   61462  120.50000  120.83333  121.50000
0000064  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   236   60956   60957  235.50000  235.83333  236.50000   121   61462  120.50000  120.83333  121.50000
0000065  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   236   60956   60957  235.50000  236.16667  236.50000   121   61462  120.50000  120.83333  121.50000
0000066  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   237   60957   60958  236.50000  236.50000  237.50000   121   61463  120.50000  120.83333  121.50000
0000067  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   237   60957   60958  236.50000  236.83333  237.50000   121   61463  120.50000  120.83333  121.50000
0000068  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   237   60957   60958  236.50000  237.16667  237.50000   121   61463  120.50000  120.83333  121.50000
0000069  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   238   60958   60959  237.50000  237.50000  238.50000   121   61464  120.50000  120.83333  121.50000
0000070  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   238   60958   60959  237.50000  237.83333  238.50000   121   61464  120.50000  120.83333  121.50000
0000071  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   238   60958   60959  237.50000  238.16667  238.50000   121   61464  120.50000  120.83333  121.50000
0000072  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   239   60959   60960  238.50000  238.50000  239.50000   121   61465  120.50000  120.83333  121.50000
0000073  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   239   60959   60960  238.50000  238.83333  239.50000   121   61465  120.50000  120.83333  121.50000
0000074  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   239   60959   60960  238.50000  239.16667  239.50000   121   61465  120.50000  120.83333  121.50000
0000075  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   240   60960   60961  239.50000  239.50000  240.50000   121   61466  120.50000  120.83333  121.50000
0000076  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   240   60960   60961  239.50000  239.83333  240.50000   121   61466  120.50000  120.83333  121.50000
0000077  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   240   60960   60961  239.50000  240.16667  240.50000   121   61466  120.50000  120.83333  121.50000
0000078  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   241   60961   60962  240.50000  240.50000  241.50000   121   61467  120.50000  120.83333  121.50000
0000079  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   241   60961   60962  240.50000  240.83333  241.50000   121   61467  120.50000  120.83333  121.50000
0000080  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   241   60961   60962  240.50000  241.16667  241.50000   121   61467  120.50000  120.83333  121.50000
0000081  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   242   60962   60963  241.50000  241.50000  242.50000   121   61468  120.50000  120.83333  121.50000
0000082  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   242   60962   60963  241.50000  241.83333  242.50000   121   61468  120.50000  120.83333  121.50000
0000083  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   242   60962   60963  241.50000  242.16667  242.50000   121   61468  120.50000  120.83333  121.50000
0000084  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   243   60963   60964  242.50000  242.50000  243.50000   121   61469  120.50000  120.83333  121.50000
0000085  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   243   60963   60964  242.50000  242.83333  243.50000   121   61469  120.50000  120.83333  121.50000
0000086  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   243   60963   60964  242.50000  243.16667  243.50000   121   61469  120.50000  120.83333  121.50000
0000087  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   244   60964   60965  243.50000  243.50000  244.50000   121   61470  120.50000  120.83333  121.50000
0000088  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   244   60964   60965  243.50000  243.83333  244.50000   121   61470  120.50000  120.83333  121.50000
0000089  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   244   60964   60965  243.50000  244.16667  244.50000   121   61470  120.50000  120.83333  121.50000
0000090  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   245   60965   60966  244.50000  244.50000  245.50000   121   61471  120.50000  120.83333  121.50000
0000091  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   245   60965   60966  244.50000  244.83333  245.50000   121   61471  120.50000  120.83333  121.50000
0000092  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   245   60965   60966  244.50000  245.16667  245.50000   121   61471  120.50000  120.83333  121.50000
0000093  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   246   60966   60967  245.50000  245.50000  246.50000   121   61472  120.50000  120.83333  121.50000
0000094  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   246   60966   60967  245.50000  245.83333  246.50000   121   61472  120.50000  120.83333  121.50000
0000095  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   246   60966   60967  245.50000  246.16667  246.50000   121   61472  120.50000  120.83333  121.50000
0000096  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   247   60967   60968  246.50000  246.50000  247.50000   121   61473  120.50000  120.83333  121.50000
0000097  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   247   60967   60968  246.50000  246.83333  247.50000   121   61473  120.50000  120.83333  121.50000
0000098  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   247   60967   60968  246.50000  247.16667  247.50000   121   61473  120.50000  120.83333  121.50000
