Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00     8    1028    1029    7.50000    7.83333    8.50000    12    1130   11.00000   11.00000   12.00000
0000002  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00     8    1028    1029    7.50000    8.16667    8.50000    12    1130   11.00000   11.00000   12.00000
0000003  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00     9    1029    1030    8.50000    8.50000    9.50000    12    1131   11.00000   11.00000   12.00000
0000004  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00     9    1029    1030    8.50000    8.83333    9.50000    12    1131   11.00000   11.00000   12.00000
0000005  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00     9    1029    1030    8.50000    9.16667    9.50000    12    1131   11.00000   11.00000   12.00000
0000006  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    10    1030    1031    9.50000    9.50000   10.50000    12    1132   11.00000   11.00000   12.00000
0000007  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    10    1030    1031    9.50000    9.83333   10.50000    12    1132   11.00000   11.00000   12.00000
0000008  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    10    1030    1031    9.50000   10.16667   10.50000    12    1132   11.00000   11.00000   12.00000
0000009  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    11    1031    1032   10.50000   10.50000   11.50000    12    1133   11.00000   11.00000   12.00000
0000010  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    11    1031    1032   10.50000   10.83333   11.50000    12    1133   11.00000   11.00000   12.00000
0000011  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    11    1031    1032   10.50000   11.16667   11.50000    12    1133   11.00000   11.00000   12.00000
0000012  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    12    1032    1033   11.50000   11.50000   12.50000    12    1134   11.00000   11.00000   12.00000
0000013  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    12    1032    1033   11.50000   11.83333   12.50000    12    1134   11.00000   11.00000   12.00000
0000014  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    12    1032    1033   11.50000   12.16667   12.50000    12    1134   11.00000   11.00000   12.00000
0000015  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    13    1033    1034   12.50000   12.50000   13.50000    12    1135   11.00000   11.00000   12.00000
0000016  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    13    1033    1034   12.50000   12.83333   13.50000    12    1135   11.00000   11.00000   12.00000
0000017  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    13    1033    1034   12.50000   13.16667   13.50000    12    1135   11.00000   11.00000   12.00000
0000018  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    14    1034    1035   13.50000   13.50000   14.50000    12    1136   11.00000   11.00000   12.00000
0000019  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    14    1034    1035   13.50000   13.83333   14.50000    12    1136   11.00000   11.00000   12.00000
0000020  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    14    1034    1035   13.50000   14.16667   14.50000    12    1136   11.00000   11.00000   12.00000
0000021  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    15    1035    1036   14.50000   14.50000   15.50000    12    1137   11.00000   11.00000   12.00000
0000022  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    15    1035    1036   14.50000   14.83333   15.50000    12    1137   11.00000   11.00000   12.00000
0000023  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    15    1035    1036   14.50000   15.16667   15.50000    12    1137   11.00000   11.00000   12.00000
0000024  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    16    1036    1037   15.50000   15.50000   16.50000    12    1138   11.00000   11.00000   12.00000
0000025  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    16    1036    1037   15.50000   15.83333   16.50000    12    1138   11.00000   11.00000   12.00000
0000026  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    16    1036    1037   15.50000   16.16667   16.50000    12    1138   11.00000   11.00000   12.00000
0000027  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    17    1037    1038   16.50000   16.50000   17.50000    12    1139   11.00000   11.00000   12.00000
0000028  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    17    1037    1038   16.50000   16.83333   17.50000    12    1139   11.00000   11.00000   12.00000
0000029  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    17    1037    1038   16.50000   17.16667   17.50000    12    1139   11.00000   11.00000   12.00000
0000030  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    18    1038    1039   17.50000   17.50000   18.50000    12    1140   11.00000   11.00000   12.00000
0000031  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    18    1038    1039   17.50000   17.83333   18.50000    12    1140   11.00000   11.00000   12.00000
0000032  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    18    1038    1039   17.50000   18.16667   18.50000    12    1140   11.00000   11.00000   12.00000
0000033  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    19    1039    1040   18.50000   18.50000   19.50000    12    1141   11.00000   11.00000   12.00000
0000034  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00    19    1039    1040   18.50000   18.83333   19.50000    12    1141   11.00000   11.00000   12.00000
0000035  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00    19    1039    1040   18.50000   19.16667   19.50000    12    1141   11.00000   11.00000   12.00000
