Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00     8    1028    1029    7.50000    7.83333    8.50000    11    1130   10.50000   10.83333   11.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00     8    1028    1029    7.50000    8.16667    8.50000    11    1130   10.50000   10.83333   11.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00     9    1029    1030    8.50000    8.50000    9.50000    11    1131   10.50000   10.83333   11.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00     9    1029    1030    8.50000    8.83333    9.50000    11    1131   10.50000   10.83333   11.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00     9    1029    1030    8.50000    9.16667    9.50000    11    1131   10.50000   10.83333   11.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    10    1030    1031    9.50000    9.50000   10.50000    11    1132   10.50000   10.83333   11.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    10    1030    1031    9.50000    9.83333   10.50000    11    1132   10.50000   10.83333   11.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    10    1030    1031    9.50000   10.16667   10.50000    11    1132   10.50000   10.83333   11.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    11    1031    1032   10.50000   10.50000   11.50000    11    1133   10.50000   10.83333   11.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    11    1031    1032   10.50000   10.83333   11.50000    11    1133   10.50000   10.83333   11.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    11    1031    1032   10.50000   11.16667   11.50000    11    1133   10.50000   10.83333   11.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    12    1032    1033   11.50000   11.50000   12.50000    11    1134   10.50000   10.83333   11.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    12    1032    1033   11.50000   11.83333   12.50000    11    1134   10.50000   10.83333   11.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    12    1032    1033   11.50000   12.16667   12.50000    11    1134   10.50000   10.83333   11.50000
0000015  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    13    1033    1034   12.50000   12.50000   13.50000    11    1135   10.50000   10.83333   11.50000
0000016  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    13    1033    1034   12.50000   12.83333   13.50000    11    1135   10.50000   10.83333   11.50000
0000017  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    13    1033    1034   12.50000   13.16667   13.50000    11    1135   10.50000   10.83333   11.50000
0000018  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    14    1034    1035   13.50000   13.50000   14.50000    11    1136   10.50000   10.83333   11.50000
0000019  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    14    1034    1035   13.50000   13.83333   14.50000    11    1136   10.50000   10.83333   11.50000
0000020  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    14    1034    1035   13.50000   14.16667   14.50000    11    1136   10.50000   10.83333   11.50000
0000021  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    15    1035    1036   14.50000   14.50000   15.50000    11    1137   10.50000   10.83333   11.50000
0000022  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    15    1035    1036   14.50000   14.83333   15.50000    11    1137   10.50000   10.83333   11.50000
0000023  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    15    1035    1036   14.50000   15.16667   15.50000    11    1137   10.50000   10.83333   11.50000
0000024  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    16    1036    1037   15.50000   15.50000   16.50000    11    1138   10.50000   10.83333   11.50000
0000025  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    16    1036    1037   15.50000   15.83333   16.50000    11    1138   10.50000   10.83333   11.50000
0000026  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    16    1036    1037   15.50000   16.16667   16.50000    11    1138   10.50000   10.83333   11.50000
0000027  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    17    1037    1038   16.50000   16.50000   17.50000    11    1139   10.50000   10.83333   11.50000
0000028  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    17    1037    1038   16.50000   16.83333   17.50000    11    1139   10.50000   10.83333   11.50000
0000029  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    17    1037    1038   16.50000   17.16667   17.50000    11    1139   10.50000   10.83333   11.50000
0000030  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    18    1038    1039   17.50000   17.50000   18.50000    11    1140   10.50000   10.83333   11.50000
0000031  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    18    1038    1039   17.50000   17.83333   18.50000    11    1140   10.50000   10.83333   11.50000
0000032  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    18    1038    1039   17.50000   18.16667   18.50000    11    1140   10.50000   10.83333   11.50000
0000033  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    19    1039    1040   18.50000   18.50000   19.50000    11    1141   10.50000   10.83333   11.50000
0000034  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    19    1039    1040   18.50000   18.83333   19.50000    11    1141   10.50000   10.83333   11.50000
0000035  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    19    1039    1040   18.50000   19.16667   19.50000    11    1141   10.50000   10.83333   11.50000
0000036  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    20    1040    1041   19.50000   19.50000   20.50000    11    1142   10.50000   10.83333   11.50000
0000037  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    20    1040    1041   19.50000   19.83333   20.50000    11    1142   10.50000   10.83333   11.50000
0000038  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    20    1040    1041   19.50000   20.16667   20.50000    11    1142   10.50000   10.83333   11.50000
0000039  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    21    1041    1042   20.50000   20.50000   21.50000    11    1143   10.50000   10.83333   11.50000
0000040  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    21    1041    1042   20.50000   20.83333   21.50000    11    1143   10.50000   10.83333   11.50000
0000041  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    21    1041    1042   20.50000   21.16667   21.50000    11    1143   10.50000   10.83333   11.50000
0000042  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    22    1042    1043   21.50000   21.50000   22.50000    11    1144   10.50000   10.83333   11.50000
0000043  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    22    1042    1043   21.50000   21.83333   22.50000    11    1144   10.50000   10.83333   11.50000
0000044  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    22    1042    1043   21.50000   22.16667   22.50000    11    1144   10.50000   10.83333   11.50000
0000045  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    23    1043    1044   22.50000   22.50000   23.50000    11    1145   10.50000   10.83333   11.50000
0000046  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    23    1043    1044   22.50000   22.83333   23.50000    11    1145   10.50000   10.83333   11.50000
0000047  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    23    1043    1044   22.50000   23.16667   23.50000    11    1145   10.50000   10.83333   11.50000
0000048  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    24    1044    1045   23.50000   23.50000   24.50000    11    1146   10.50000   10.83333   11.50000
0000049  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    24    1044    1045   23.50000   23.83333   24.50000    11    1146   10.50000   10.83333   11.50000
0000050  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    24    1044    1045   23.50000   24.16667   24.50000    11    1146   10.50000   10.83333   11.50000
0000051  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    25    1045    1046   24.50000   24.50000   25.50000    11    1147   10.50000   10.83333   11.50000
0000052  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    25    1045    1046   24.50000   24.83333   25.50000    11    1147   10.50000   10.83333   11.50000
0000053  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    25    1045    1046   24.50000   25.16667   25.50000    11    1147   10.50000   10.83333   11.50000
0000054  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    26    1046    1047   25.50000   25.50000   26.50000    11    1148   10.50000   10.83333   11.50000
0000055  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    26    1046    1047   25.50000   25.83333   26.50000    11    1148   10.50000   10.83333   11.50000
0000056  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    26    1046    1047   25.50000   26.16667   26.50000    11    1148   10.50000   10.83333   11.50000
0000057  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    27    1047    1048   26.50000   26.50000   27.50000    11    1149   10.50000   10.83333   11.50000
0000058  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    27    1047    1048   26.50000   26.83333   27.50000    11    1149   10.50000   10.83333   11.50000
0000059  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    27    1047    1048   26.50000   27.16667   27.50000    11    1149   10.50000   10.83333   11.50000
0000060  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    28    1048    1049   27.50000   27.50000   28.50000    11    1150   10.50000   10.83333   11.50000
0000061  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    28    1048    1049   27.50000   27.83333   28.50000    11    1150   10.50000   10.83333   11.50000
0000062  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    28    1048    1049   27.50000   28.16667   28.50000    11    1150   10.50000   10.83333   11.50000
0000063  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    29    1049    1050   28.50000   28.50000   29.50000    11    1151   10.50000   10.83333   11.50000
0000064  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    29    1049    1050   28.50000   28.83333   29.50000    11    1151   10.50000   10.83333   11.50000
0000065  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    29    1049    1050   28.50000   29.16667   29.50000    11    1151   10.50000   10.83333   11.50000
0000066  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    30    1050    1051   29.50000   29.50000   30.50000    11    1152   10.50000   10.83333   11.50000
0000067  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    30    1050    1051   29.50000   29.83333   30.50000    11    1152   10.50000   10.83333   11.50000
0000068  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    30    1050    1051   29.50000   30.16667   30.50000    11    1152   10.50000   10.83333   11.50000
0000069  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    31    1051    1052   30.50000   30.50000   31.50000    11    1153   10.50000   10.83333   11.50000
0000070  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    31    1051    1052   30.50000   30.83333   31.50000    11    1153   10.50000   10.83333   11.50000
0000071  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    31    1051    1052   30.50000   31.16667   31.50000    11    1153   10.50000   10.83333   11.50000
0000072  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    32    1052    1053   31.50000   31.50000   32.50000    11    1154   10.50000   10.83333   11.50000
0000073  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    32    1052    1053   31.50000   31.83333   32.50000    11    1154   10.50000   10.83333   11.50000
0000074  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00     8    1028    1029    7.50000    7.83333    8.50000    11    1130   10.50000   11.16667   11.50000
0000075  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00     8    1028    1029    7.50000    8.16667    8.50000    11    1130   10.50000   11.16667   11.50000
0000076  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00     9    1029    1030    8.50000    8.50000    9.50000    11    1131   10.50000   11.16667   11.50000
0000077  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00     9    1029    1030    8.50000    8.83333    9.50000    11    1131   10.50000   11.16667   11.50000
0000078  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00     9    1029    1030    8.50000    9.16667    9.50000    11    1131   10.50000   11.16667   11.50000
0000079  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    10    1030    1031    9.50000    9.50000   10.50000    11    1132   10.50000   11.16667   11.50000
0000080  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    10    1030    1031    9.50000    9.83333   10.50000    11    1132   10.50000   11.16667   11.50000
0000081  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    10    1030    1031    9.50000   10.16667   10.50000    11    1132   10.50000   11.16667   11.50000
0000082  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00    11    1031    1032   10.50000   10.50000   11.50000    11    1133   10.50000   11.16667   11.50000
0000083  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00    11    1031    1032   10.50000   10.83333   11.50000    11    1133   10.50000   11.16667   11.50000
0000084  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00    11    1031    1032   10.50000   11.16667   11.50000    11    1133   10.50000   11.16667   11.50000
