Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00     9    1018    1019    8.00000    8.00000    9.00000    11    1119   10.50000   10.83333   11.50000
0000002  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00     9    1018    1019    8.00000    8.33333    9.00000    11    1119   10.50000   10.83333   11.50000
0000003  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00     9    1018    1019    8.00000    8.66667    9.00000    11    1119   10.50000   10.83333   11.50000
0000004  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    10    1019    1020    9.00000    9.00000   10.00000    11    1120   10.50000   10.83333   11.50000
0000005  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    10    1019    1020    9.00000    9.33333   10.00000    11    1120   10.50000   10.83333   11.50000
0000006  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    10    1019    1020    9.00000    9.66667   10.00000    11    1120   10.50000   10.83333   11.50000
0000007  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    11    1020    1021   10.00000   10.00000   11.00000    11    1121   10.50000   10.83333   11.50000
0000008  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    11    1020    1021   10.00000   10.33333   11.00000    11    1121   10.50000   10.83333   11.50000
0000009  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    11    1020    1021   10.00000   10.66667   11.00000    11    1121   10.50000   10.83333   11.50000
0000010  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    12    1021    1022   11.00000   11.00000   12.00000    11    1122   10.50000   10.83333   11.50000
0000011  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    12    1021    1022   11.00000   11.33333   12.00000    11    1122   10.50000   10.83333   11.50000
0000012  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    12    1021    1022   11.00000   11.66667   12.00000    11    1122   10.50000   10.83333   11.50000
0000013  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    13    1022    1023   12.00000   12.00000   13.00000    11    1123   10.50000   10.83333   11.50000
0000014  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    13    1022    1023   12.00000   12.33333   13.00000    11    1123   10.50000   10.83333   11.50000
0000015  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    13    1022    1023   12.00000   12.66667   13.00000    11    1123   10.50000   10.83333   11.50000
0000016  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    14    1023    1024   13.00000   13.00000   14.00000    11    1124   10.50000   10.83333   11.50000
0000017  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    14    1023    1024   13.00000   13.33333   14.00000    11    1124   10.50000   10.83333   11.50000
0000018  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    14    1023    1024   13.00000   13.66667   14.00000    11    1124   10.50000   10.83333   11.50000
0000019  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    15    1024    1025   14.00000   14.00000   15.00000    11    1125   10.50000   10.83333   11.50000
0000020  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00    15    1024    1025   14.00000   14.33333   15.00000    11    1125   10.50000   10.83333   11.50000
0000021  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00    15    1024    1025   14.00000   14.66667   15.00000    11    1125   10.50000   10.83333   11.50000
0000022  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00    16    1025    1026   15.00000   15.00000   16.00000    11    1126   10.50000   10.83333   11.50000
