Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00     9    1018    1019    8.00000    8.00000    9.00000    11    1119   10.50000   10.83333   11.50000
0000002  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00     9    1018    1019    8.00000    8.33333    9.00000    11    1119   10.50000   10.83333   11.50000
0000003  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00     9    1018    1019    8.00000    8.66667    9.00000    11    1119   10.50000   10.83333   11.50000
0000004  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    10    1019    1020    9.00000    9.00000   10.00000    11    1120   10.50000   10.83333   11.50000
0000005  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    10    1019    1020    9.00000    9.33333   10.00000    11    1120   10.50000   10.83333   11.50000
0000006  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    10    1019    1020    9.00000    9.66667   10.00000    11    1120   10.50000   10.83333   11.50000
0000007  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    11    1020    1021   10.00000   10.00000   11.00000    11    1121   10.50000   10.83333   11.50000
0000008  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    11    1020    1021   10.00000   10.33333   11.00000    11    1121   10.50000   10.83333   11.50000
0000009  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    11    1020    1021   10.00000   10.66667   11.00000    11    1121   10.50000   10.83333   11.50000
0000010  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    12    1021    1022   11.00000   11.00000   12.00000    11    1122   10.50000   10.83333   11.50000
0000011  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    12    1021    1022   11.00000   11.33333   12.00000    11    1122   10.50000   10.83333   11.50000
0000012  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    12    1021    1022   11.00000   11.66667   12.00000    11    1122   10.50000   10.83333   11.50000
