Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00     8    1028    1029    7.50000    7.83333    8.50000    12    1130   11.00000   11.00000   12.00000
0000002  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00     8    1028    1029    7.50000    8.16667    8.50000    12    1130   11.00000   11.00000   12.00000
0000003  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00     9    1029    1030    8.50000    8.50000    9.50000    12    1131   11.00000   11.00000   12.00000
0000004  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00     9    1029    1030    8.50000    8.83333    9.50000    12    1131   11.00000   11.00000   12.00000
0000005  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00     9    1029    1030    8.50000    9.16667    9.50000    12    1131   11.00000   11.00000   12.00000
0000006  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    10    1030    1031    9.50000    9.50000   10.50000    12    1132   11.00000   11.00000   12.00000
0000007  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    10    1030    1031    9.50000    9.83333   10.50000    12    1132   11.00000   11.00000   12.00000
0000008  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    10    1030    1031    9.50000   10.16667   10.50000    12    1132   11.00000   11.00000   12.00000
0000009  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    11    1031    1032   10.50000   10.50000   11.50000    12    1133   11.00000   11.00000   12.00000
0000010  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    11    1031    1032   10.50000   10.83333   11.50000    12    1133   11.00000   11.00000   12.00000
0000011  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    11    1031    1032   10.50000   11.16667   11.50000    12    1133   11.00000   11.00000   12.00000
0000012  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    12    1032    1033   11.50000   11.50000   12.50000    12    1134   11.00000   11.00000   12.00000
0000013  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    12    1032    1033   11.50000   11.83333   12.50000    12    1134   11.00000   11.00000   12.00000
0000014  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00    12    1032    1033   11.50000   12.16667   12.50000    12    1134   11.00000   11.00000   12.00000
