# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-11-17 19:39:36 -05:00	(nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01116500 PAWTUXET RIVER AT CRANSTON, RI
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 01116500
#    TS_ID       Parameter Description
#    66424       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	tz_cd	66424_00060	66424_00060_cd
5s	15s	20d	6s	14n	10s
USGS	01116500	2020-01-01 00:00	EST	637	A
USGS	01116500	2020-01-01 00:15	EST	634	A
USGS	01116500	2020-01-01 00:30	EST	631	A
USGS	01116500	2020-01-01 00:45	EST	629	A
USGS	01116500	2020-01-01 01:00	EST	626	A
USGS	01116500	2020-01-01 01:15	EST	624	A
USGS	01116500	2020-01-01 01:30	EST	621	A
USGS	01116500	2020-01-01 01:45	EST	618	A
USGS	01116500	2020-01-01 02:00	EST	618	A
USGS	01116500	2020-01-01 02:15	EST	616	A
USGS	01116500	2020-01-01 02:30	EST	613	A
USGS	01116500	2020-01-01 02:45	EST	611	A
USGS	01116500	2020-01-01 03:00	EST	608	A
USGS	01116500	2020-01-01 03:15	EST	605	A
USGS	01116500	2020-01-01 03:30	EST	603	A
USGS	01116500	2020-01-01 03:45	EST	598	A
USGS	01116500	2020-01-01 04:00	EST	595	A
USGS	01116500	2020-01-01 04:15	EST	592	A
USGS	01116500	2020-01-01 04:30	EST	590	A
USGS	01116500	2020-01-01 04:45	EST	587	A
USGS	01116500	2020-01-01 05:00	EST	585	A
USGS	01116500	2020-01-01 05:15	EST	582	A
USGS	01116500	2020-01-01 05:30	EST	579	A
USGS	01116500	2020-01-01 05:45	EST	579	A
USGS	01116500	2020-01-01 06:00	EST	577	A
USGS	01116500	2020-01-01 06:15	EST	574	A
USGS	01116500	2020-01-01 06:30	EST	574	A
USGS	01116500	2020-01-01 06:45	EST	572	A
USGS	01116500	2020-01-01 07:00	EST	569	A
USGS	01116500	2020-01-01 07:15	EST	569	A
USGS	01116500	2020-01-01 07:30	EST	566	A
USGS	01116500	2020-01-01 07:45	EST	564	A
USGS	01116500	2020-01-01 08:00	EST	564	A
USGS	01116500	2020-01-01 08:15	EST	561	A
