Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.28571e-01  0.00000e+00  0.00000e+00  5.71429e-01  1.00000e+00    44   19596   19597   43.50000   43.50000   44.50000   106   19784  105.00000  105.57143  106.00000
0000002  3.67347e-01  6.12245e-02  8.16327e-02  4.89796e-01  1.00000e+00    44   19596   19597   43.50000   43.64286   44.50000   106   19784  105.00000  105.57143  106.00000
0000003  3.06122e-01  1.22449e-01  1.63265e-01  4.08163e-01  1.00000e+00    44   19596   19597   43.50000   43.78571   44.50000   106   19784  105.00000  105.57143  106.00000
0000004  2.44898e-01  1.83673e-01  2.44898e-01  3.26531e-01  1.00000e+00    44   19596   19597   43.50000   43.92857   44.50000   106   19784  105.00000  105.57143  106.00000
0000005  1.83673e-01  2.44898e-01  3.26531e-01  2.44898e-01  1.00000e+00    44   19596   19597   43.50000   44.07143   44.50000   106   19784  105.00000  105.57143  106.00000
0000006  1.22449e-01  3.06122e-01  4.08163e-01  1.63265e-01  1.00000e+00    44   19596   19597   43.50000   44.21429   44.50000   106   19784  105.00000  105.57143  106.00000
0000007  6.12245e-02  3.67347e-01  4.89796e-01  8.16327e-02  1.00000e+00    44   19596   19597   43.50000   44.35714   44.50000   106   19784  105.00000  105.57143  106.00000
0000008  4.28571e-01  0.00000e+00  0.00000e+00  5.71429e-01  1.00000e+00    45   19597   19598   44.50000   44.50000   45.50000   106   19785  105.00000  105.57143  106.00000
0000009  3.67347e-01  6.12245e-02  8.16327e-02  4.89796e-01  1.00000e+00    45   19597   19598   44.50000   44.64286   45.50000   106   19785  105.00000  105.57143  106.00000
0000010  3.06122e-01  1.22449e-01  1.63265e-01  4.08163e-01  1.00000e+00    45   19597   19598   44.50000   44.78571   45.50000   106   19785  105.00000  105.57143  106.00000
