Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    44   19784   19785   43.50000   43.50000   44.50000   106   19972  105.50000  105.50000  106.50000
0000002  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    44   19784   19785   43.50000   43.64286   44.50000   106   19972  105.50000  105.50000  106.50000
0000003  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    44   19784   19785   43.50000   43.78571   44.50000   106   19972  105.50000  105.50000  106.50000
0000004  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    44   19784   19785   43.50000   43.92857   44.50000   106   19972  105.50000  105.50000  106.50000
0000005  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    44   19784   19785   43.50000   44.07143   44.50000   106   19972  105.50000  105.50000  106.50000
0000006  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    44   19784   19785   43.50000   44.21429   44.50000   106   19972  105.50000  105.50000  106.50000
0000007  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    44   19784   19785   43.50000   44.35714   44.50000   106   19972  105.50000  105.50000  106.50000
0000008  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    45   19785   19786   44.50000   44.50000   45.50000   106   19973  105.50000  105.50000  106.50000
0000009  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19785   19786   44.50000   44.64286   45.50000   106   19973  105.50000  105.50000  106.50000
0000010  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19785   19786   44.50000   44.78571   45.50000   106   19973  105.50000  105.50000  106.50000
0000011  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19785   19786   44.50000   44.92857   45.50000   106   19973  105.50000  105.50000  106.50000
0000012  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19785   19786   44.50000   45.07143   45.50000   106   19973  105.50000  105.50000  106.50000
0000013  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19785   19786   44.50000   45.21429   45.50000   106   19973  105.50000  105.50000  106.50000
0000014  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19785   19786   44.50000   45.35714   45.50000   106   19973  105.50000  105.50000  106.50000
0000015  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    46   19786   19787   45.50000   45.50000   46.50000   106   19974  105.50000  105.50000  106.50000
0000016  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19786   19787   45.50000   45.64286   46.50000   106   19974  105.50000  105.50000  106.50000
0000017  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19786   19787   45.50000   45.78571   46.50000   106   19974  105.50000  105.50000  106.50000
0000018  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19786   19787   45.50000   45.92857   46.50000   106   19974  105.50000  105.50000  106.50000
0000019  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19786   19787   45.50000   46.07143   46.50000   106   19974  105.50000  105.50000  106.50000
0000020  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19786   19787   45.50000   46.21429   46.50000   106   19974  105.50000  105.50000  106.50000
0000021  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19786   19787   45.50000   46.35714   46.50000   106   19974  105.50000  105.50000  106.50000
0000022  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    47   19787   19788   46.50000   46.50000   47.50000   106   19975  105.50000  105.50000  106.50000
0000023  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19787   19788   46.50000   46.64286   47.50000   106   19975  105.50000  105.50000  106.50000
0000024  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19787   19788   46.50000   46.78571   47.50000   106   19975  105.50000  105.50000  106.50000
0000025  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19787   19788   46.50000   46.92857   47.50000   106   19975  105.50000  105.50000  106.50000
0000026  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19787   19788   46.50000   47.07143   47.50000   106   19975  105.50000  105.50000  106.50000
0000027  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19787   19788   46.50000   47.21429   47.50000   106   19975  105.50000  105.50000  106.50000
0000028  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19787   19788   46.50000   47.35714   47.50000   106   19975  105.50000  105.50000  106.50000
0000029  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    48   19788   19789   47.50000   47.50000   48.50000   106   19976  105.50000  105.50000  106.50000
0000030  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19788   19789   47.50000   47.64286   48.50000   106   19976  105.50000  105.50000  106.50000
0000031  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19788   19789   47.50000   47.78571   48.50000   106   19976  105.50000  105.50000  106.50000
0000032  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19788   19789   47.50000   47.92857   48.50000   106   19976  105.50000  105.50000  106.50000
0000033  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19788   19789   47.50000   48.07143   48.50000   106   19976  105.50000  105.50000  106.50000
0000034  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19788   19789   47.50000   48.21429   48.50000   106   19976  105.50000  105.50000  106.50000
0000035  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19788   19789   47.50000   48.35714   48.50000   106   19976  105.50000  105.50000  106.50000
0000036  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    49   19789   19790   48.50000   48.50000   49.50000   106   19977  105.50000  105.50000  106.50000
0000037  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19789   19790   48.50000   48.64286   49.50000   106   19977  105.50000  105.50000  106.50000
0000038  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19789   19790   48.50000   48.78571   49.50000   106   19977  105.50000  105.50000  106.50000
0000039  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19789   19790   48.50000   48.92857   49.50000   106   19977  105.50000  105.50000  106.50000
0000040  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19789   19790   48.50000   49.07143   49.50000   106   19977  105.50000  105.50000  106.50000
0000041  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19789   19790   48.50000   49.21429   49.50000   106   19977  105.50000  105.50000  106.50000
0000042  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19789   19790   48.50000   49.35714   49.50000   106   19977  105.50000  105.50000  106.50000
0000043  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    50   19790   19791   49.50000   49.50000   50.50000   106   19978  105.50000  105.50000  106.50000
0000044  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19790   19791   49.50000   49.64286   50.50000   106   19978  105.50000  105.50000  106.50000
0000045  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19790   19791   49.50000   49.78571   50.50000   106   19978  105.50000  105.50000  106.50000
0000046  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19790   19791   49.50000   49.92857   50.50000   106   19978  105.50000  105.50000  106.50000
0000047  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19790   19791   49.50000   50.07143   50.50000   106   19978  105.50000  105.50000  106.50000
0000048  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19790   19791   49.50000   50.21429   50.50000   106   19978  105.50000  105.50000  106.50000
0000049  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19790   19791   49.50000   50.35714   50.50000   106   19978  105.50000  105.50000  106.50000
0000050  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    51   19791   19792   50.50000   50.50000   51.50000   106   19979  105.50000  105.50000  106.50000
0000051  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    51   19791   19792   50.50000   50.64286   51.50000   106   19979  105.50000  105.50000  106.50000
