Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    44   19678   19679   43.00000   43.57143   44.00000   106   19865  105.50000  105.50000  106.50000
0000002  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    44   19678   19679   43.00000   43.71429   44.00000   106   19865  105.50000  105.50000  106.50000
0000003  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    44   19678   19679   43.00000   43.85714   44.00000   106   19865  105.50000  105.50000  106.50000
0000004  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    45   19679   19680   44.00000   44.00000   45.00000   106   19866  105.50000  105.50000  106.50000
0000005  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19679   19680   44.00000   44.14286   45.00000   106   19866  105.50000  105.50000  106.50000
0000006  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19679   19680   44.00000   44.28571   45.00000   106   19866  105.50000  105.50000  106.50000
0000007  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19679   19680   44.00000   44.42857   45.00000   106   19866  105.50000  105.50000  106.50000
0000008  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19679   19680   44.00000   44.57143   45.00000   106   19866  105.50000  105.50000  106.50000
0000009  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19679   19680   44.00000   44.71429   45.00000   106   19866  105.50000  105.50000  106.50000
0000010  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    45   19679   19680   44.00000   44.85714   45.00000   106   19866  105.50000  105.50000  106.50000
0000011  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    46   19680   19681   45.00000   45.00000   46.00000   106   19867  105.50000  105.50000  106.50000
0000012  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19680   19681   45.00000   45.14286   46.00000   106   19867  105.50000  105.50000  106.50000
0000013  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19680   19681   45.00000   45.28571   46.00000   106   19867  105.50000  105.50000  106.50000
0000014  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19680   19681   45.00000   45.42857   46.00000   106   19867  105.50000  105.50000  106.50000
0000015  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19680   19681   45.00000   45.57143   46.00000   106   19867  105.50000  105.50000  106.50000
0000016  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19680   19681   45.00000   45.71429   46.00000   106   19867  105.50000  105.50000  106.50000
0000017  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    46   19680   19681   45.00000   45.85714   46.00000   106   19867  105.50000  105.50000  106.50000
0000018  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    47   19681   19682   46.00000   46.00000   47.00000   106   19868  105.50000  105.50000  106.50000
0000019  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19681   19682   46.00000   46.14286   47.00000   106   19868  105.50000  105.50000  106.50000
0000020  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19681   19682   46.00000   46.28571   47.00000   106   19868  105.50000  105.50000  106.50000
0000021  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19681   19682   46.00000   46.42857   47.00000   106   19868  105.50000  105.50000  106.50000
0000022  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19681   19682   46.00000   46.57143   47.00000   106   19868  105.50000  105.50000  106.50000
0000023  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19681   19682   46.00000   46.71429   47.00000   106   19868  105.50000  105.50000  106.50000
0000024  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    47   19681   19682   46.00000   46.85714   47.00000   106   19868  105.50000  105.50000  106.50000
0000025  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    48   19682   19683   47.00000   47.00000   48.00000   106   19869  105.50000  105.50000  106.50000
0000026  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19682   19683   47.00000   47.14286   48.00000   106   19869  105.50000  105.50000  106.50000
0000027  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19682   19683   47.00000   47.28571   48.00000   106   19869  105.50000  105.50000  106.50000
0000028  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19682   19683   47.00000   47.42857   48.00000   106   19869  105.50000  105.50000  106.50000
0000029  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19682   19683   47.00000   47.57143   48.00000   106   19869  105.50000  105.50000  106.50000
0000030  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19682   19683   47.00000   47.71429   48.00000   106   19869  105.50000  105.50000  106.50000
0000031  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    48   19682   19683   47.00000   47.85714   48.00000   106   19869  105.50000  105.50000  106.50000
0000032  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    49   19683   19684   48.00000   48.00000   49.00000   106   19870  105.50000  105.50000  106.50000
0000033  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19683   19684   48.00000   48.14286   49.00000   106   19870  105.50000  105.50000  106.50000
0000034  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19683   19684   48.00000   48.28571   49.00000   106   19870  105.50000  105.50000  106.50000
0000035  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19683   19684   48.00000   48.42857   49.00000   106   19870  105.50000  105.50000  106.50000
0000036  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19683   19684   48.00000   48.57143   49.00000   106   19870  105.50000  105.50000  106.50000
0000037  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19683   19684   48.00000   48.71429   49.00000   106   19870  105.50000  105.50000  106.50000
0000038  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    49   19683   19684   48.00000   48.85714   49.00000   106   19870  105.50000  105.50000  106.50000
0000039  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    50   19684   19685   49.00000   49.00000   50.00000   106   19871  105.50000  105.50000  106.50000
0000040  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19684   19685   49.00000   49.14286   50.00000   106   19871  105.50000  105.50000  106.50000
0000041  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19684   19685   49.00000   49.28571   50.00000   106   19871  105.50000  105.50000  106.50000
0000042  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19684   19685   49.00000   49.42857   50.00000   106   19871  105.50000  105.50000  106.50000
0000043  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19684   19685   49.00000   49.57143   50.00000   106   19871  105.50000  105.50000  106.50000
0000044  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19684   19685   49.00000   49.71429   50.00000   106   19871  105.50000  105.50000  106.50000
0000045  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    50   19684   19685   49.00000   49.85714   50.00000   106   19871  105.50000  105.50000  106.50000
0000046  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    51   19685   19686   50.00000   50.00000   51.00000   106   19872  105.50000  105.50000  106.50000
0000047  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    51   19685   19686   50.00000   50.14286   51.00000   106   19872  105.50000  105.50000  106.50000
0000048  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    51   19685   19686   50.00000   50.28571   51.00000   106   19872  105.50000  105.50000  106.50000
0000049  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    51   19685   19686   50.00000   50.42857   51.00000   106   19872  105.50000  105.50000  106.50000
0000050  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    51   19685   19686   50.00000   50.57143   51.00000   106   19872  105.50000  105.50000  106.50000
0000051  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    51   19685   19686   50.00000   50.71429   51.00000   106   19872  105.50000  105.50000  106.50000
0000052  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    51   19685   19686   50.00000   50.85714   51.00000   106   19872  105.50000  105.50000  106.50000
0000053  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    52   19686   19687   51.00000   51.00000   52.00000   106   19873  105.50000  105.50000  106.50000
0000054  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    52   19686   19687   51.00000   51.14286   52.00000   106   19873  105.50000  105.50000  106.50000
0000055  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    52   19686   19687   51.00000   51.28571   52.00000   106   19873  105.50000  105.50000  106.50000
0000056  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    52   19686   19687   51.00000   51.42857   52.00000   106   19873  105.50000  105.50000  106.50000
0000057  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    52   19686   19687   51.00000   51.57143   52.00000   106   19873  105.50000  105.50000  106.50000
0000058  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    52   19686   19687   51.00000   51.71429   52.00000   106   19873  105.50000  105.50000  106.50000
0000059  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    52   19686   19687   51.00000   51.85714   52.00000   106   19873  105.50000  105.50000  106.50000
0000060  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    53   19687   19688   52.00000   52.00000   53.00000   106   19874  105.50000  105.50000  106.50000
0000061  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    53   19687   19688   52.00000   52.14286   53.00000   106   19874  105.50000  105.50000  106.50000
0000062  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    53   19687   19688   52.00000   52.28571   53.00000   106   19874  105.50000  105.50000  106.50000
0000063  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    53   19687   19688   52.00000   52.42857   53.00000   106   19874  105.50000  105.50000  106.50000
0000064  4.28571e-01  5.71429e-01  0.00000e+00  0.00000e+00  1.00000e+00    53   19687   19688   52.00000   52.57143   53.00000   106   19874  105.50000  105.50000  106.50000
0000065  2.85714e-01  7.14286e-01  0.00000e+00  0.00000e+00  1.00000e+00    53   19687   19688   52.00000   52.71429   53.00000   106   19874  105.50000  105.50000  106.50000
0000066  1.42857e-01  8.57143e-01  0.00000e+00  0.00000e+00  1.00000e+00    53   19687   19688   52.00000   52.85714   53.00000   106   19874  105.50000  105.50000  106.50000
0000067  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    54   19688   19689   53.00000   53.00000   54.00000   106   19875  105.50000  105.50000  106.50000
0000068  8.57143e-01  1.42857e-01  0.00000e+00  0.00000e+00  1.00000e+00    54   19688   19689   53.00000   53.14286   54.00000   106   19875  105.50000  105.50000  106.50000
0000069  7.14286e-01  2.85714e-01  0.00000e+00  0.00000e+00  1.00000e+00    54   19688   19689   53.00000   53.28571   54.00000   106   19875  105.50000  105.50000  106.50000
0000070  5.71429e-01  4.28571e-01  0.00000e+00  0.00000e+00  1.00000e+00    54   19688   19689   53.00000   53.42857   54.00000   106   19875  105.50000  105.50000  106.50000
