Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   339  519932  519933  338.50000  338.83333  339.50000   668  520711  667.50000  667.83333  668.50000
0000002  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   339  519932  519933  338.50000  339.16667  339.50000   668  520711  667.50000  667.83333  668.50000
0000003  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   340  519933  519934  339.50000  339.50000  340.50000   668  520712  667.50000  667.83333  668.50000
0000004  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   340  519933  519934  339.50000  339.83333  340.50000   668  520712  667.50000  667.83333  668.50000
0000005  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   340  519933  519934  339.50000  340.16667  340.50000   668  520712  667.50000  667.83333  668.50000
0000006  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   341  519934  519935  340.50000  340.50000  341.50000   668  520713  667.50000  667.83333  668.50000
0000007  0.00000e+00  2.22222e-01  0.00000e+00  0.00000e+00  2.22222e-01   341  519934  519935  340.50000  340.83333  341.50000   668  520713  667.50000  667.83333  668.50000
0000008  0.00000e+00  4.44444e-01  0.00000e+00  0.00000e+00  4.44444e-01   341  519934  519935  340.50000  341.16667  341.50000   668  520713  667.50000  667.83333  668.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  0.00000e+00  6.66667e-01   342  519935  519936  341.50000  341.50000  342.50000   668  520714  667.50000  667.83333  668.50000
0000010  4.44444e-01  2.22222e-01  0.00000e+00  0.00000e+00  6.66667e-01   342  519935  519936  341.50000  341.83333  342.50000   668  520714  667.50000  667.83333  668.50000
0000011  2.22222e-01  4.44444e-01  0.00000e+00  0.00000e+00  6.66667e-01   342  519935  519936  341.50000  342.16667  342.50000   668  520714  667.50000  667.83333  668.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  0.00000e+00  6.66667e-01   343  519936  519937  342.50000  342.50000  343.50000   668  520715  667.50000  667.83333  668.50000
