Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   340  519265  519266  339.00000  339.00000  340.00000   668  520043  667.50000  667.83333  668.50000
0000002  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   340  519265  519266  339.00000  339.33333  340.00000   668  520043  667.50000  667.83333  668.50000
0000003  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   340  519265  519266  339.00000  339.66667  340.00000   668  520043  667.50000  667.83333  668.50000
0000004  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   341  519266  519267  340.00000  340.00000  341.00000   668  520044  667.50000  667.83333  668.50000
0000005  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   341  519266  519267  340.00000  340.33333  341.00000   668  520044  667.50000  667.83333  668.50000
0000006  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   341  519266  519267  340.00000  340.66667  341.00000   668  520044  667.50000  667.83333  668.50000
0000007  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00   342  519267  519268  341.00000  341.00000  342.00000   668  520045  667.50000  667.83333  668.50000
0000008  0.00000e+00  2.22222e-01  0.00000e+00  0.00000e+00  2.22222e-01   342  519267  519268  341.00000  341.33333  342.00000   668  520045  667.50000  667.83333  668.50000
0000009  0.00000e+00  4.44444e-01  0.00000e+00  0.00000e+00  4.44444e-01   342  519267  519268  341.00000  341.66667  342.00000   668  520045  667.50000  667.83333  668.50000
0000010  6.66667e-01  0.00000e+00  0.00000e+00  0.00000e+00  6.66667e-01   343  519268  519269  342.00000  342.00000  343.00000   668  520046  667.50000  667.83333  668.50000
0000011  4.44444e-01  2.22222e-01  0.00000e+00  0.00000e+00  6.66667e-01   343  519268  519269  342.00000  342.33333  343.00000   668  520046  667.50000  667.83333  668.50000
0000012  2.22222e-01  4.44444e-01  0.00000e+00  0.00000e+00  6.66667e-01   343  519268  519269  342.00000  342.66667  343.00000   668  520046  667.50000  667.83333  668.50000
0000013  6.66667e-01  0.00000e+00  0.00000e+00  0.00000e+00  6.66667e-01   344  519269  519270  343.00000  343.00000  344.00000   668  520047  667.50000  667.83333  668.50000
0000014  4.44444e-01  2.22222e-01  1.11111e-01  0.00000e+00  7.77778e-01   344  519269  519270  343.00000  343.33333  344.00000   668  520047  667.50000  667.83333  668.50000
0000015  2.22222e-01  4.44444e-01  2.22222e-01  0.00000e+00  8.88889e-01   344  519269  519270  343.00000  343.66667  344.00000   668  520047  667.50000  667.83333  668.50000
0000016  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   345  519270  519271  344.00000  344.00000  345.00000   668  520048  667.50000  667.83333  668.50000
0000017  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   345  519270  519271  344.00000  344.33333  345.00000   668  520048  667.50000  667.83333  668.50000
0000018  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   345  519270  519271  344.00000  344.66667  345.00000   668  520048  667.50000  667.83333  668.50000
0000019  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   346  519271  519272  345.00000  345.00000  346.00000   668  520049  667.50000  667.83333  668.50000
0000020  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   346  519271  519272  345.00000  345.33333  346.00000   668  520049  667.50000  667.83333  668.50000
0000021  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   346  519271  519272  345.00000  345.66667  346.00000   668  520049  667.50000  667.83333  668.50000
0000022  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   347  519272  519273  346.00000  346.00000  347.00000   668  520050  667.50000  667.83333  668.50000
0000023  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   347  519272  519273  346.00000  346.33333  347.00000   668  520050  667.50000  667.83333  668.50000
