Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   318  107321  107322  317.00000  317.00000  318.00000   149  108044  148.50000  148.83333  149.50000
0000002  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   318  107321  107322  317.00000  317.33333  318.00000   149  108044  148.50000  148.83333  149.50000
0000003  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   318  107321  107322  317.00000  317.66667  318.00000   149  108044  148.50000  148.83333  149.50000
0000004  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   319  107322  107323  318.00000  318.00000  319.00000   149  108045  148.50000  148.83333  149.50000
0000005  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   319  107322  107323  318.00000  318.33333  319.00000   149  108045  148.50000  148.83333  149.50000
0000006  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   319  107322  107323  318.00000  318.66667  319.00000   149  108045  148.50000  148.83333  149.50000
0000007  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   320  107323  107324  319.00000  319.00000  320.00000   149  108046  148.50000  148.83333  149.50000
0000008  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   320  107323  107324  319.00000  319.33333  320.00000   149  108046  148.50000  148.83333  149.50000
0000009  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   320  107323  107324  319.00000  319.66667  320.00000   149  108046  148.50000  148.83333  149.50000
0000010  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   321  107324  107325  320.00000  320.00000  321.00000   149  108047  148.50000  148.83333  149.50000
0000011  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   321  107324  107325  320.00000  320.33333  321.00000   149  108047  148.50000  148.83333  149.50000
0000012  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   321  107324  107325  320.00000  320.66667  321.00000   149  108047  148.50000  148.83333  149.50000
0000013  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   322  107325  107326  321.00000  321.00000  322.00000   149  108048  148.50000  148.83333  149.50000
0000014  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   322  107325  107326  321.00000  321.33333  322.00000   149  108048  148.50000  148.83333  149.50000
0000015  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   322  107325  107326  321.00000  321.66667  322.00000   149  108048  148.50000  148.83333  149.50000
0000016  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   323  107326  107327  322.00000  322.00000  323.00000   149  108049  148.50000  148.83333  149.50000
0000017  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   323  107326  107327  322.00000  322.33333  323.00000   149  108049  148.50000  148.83333  149.50000
0000018  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   323  107326  107327  322.00000  322.66667  323.00000   149  108049  148.50000  148.83333  149.50000
0000019  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   324  107327  107328  323.00000  323.00000  324.00000   149  108050  148.50000  148.83333  149.50000
0000020  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   324  107327  107328  323.00000  323.33333  324.00000   149  108050  148.50000  148.83333  149.50000
0000021  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   324  107327  107328  323.00000  323.66667  324.00000   149  108050  148.50000  148.83333  149.50000
0000022  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   325  107328  107329  324.00000  324.00000  325.00000   149  108051  148.50000  148.83333  149.50000
0000023  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   325  107328  107329  324.00000  324.33333  325.00000   149  108051  148.50000  148.83333  149.50000
0000024  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   325  107328  107329  324.00000  324.66667  325.00000   149  108051  148.50000  148.83333  149.50000
0000025  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   326  107329  107330  325.00000  325.00000  326.00000   149  108052  148.50000  148.83333  149.50000
0000026  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   326  107329  107330  325.00000  325.33333  326.00000   149  108052  148.50000  148.83333  149.50000
0000027  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   326  107329  107330  325.00000  325.66667  326.00000   149  108052  148.50000  148.83333  149.50000
0000028  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   327  107330  107331  326.00000  326.00000  327.00000   149  108053  148.50000  148.83333  149.50000
0000029  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   327  107330  107331  326.00000  326.33333  327.00000   149  108053  148.50000  148.83333  149.50000
0000030  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   327  107330  107331  326.00000  326.66667  327.00000   149  108053  148.50000  148.83333  149.50000
0000031  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   328  107331  107332  327.00000  327.00000  328.00000   149  108054  148.50000  148.83333  149.50000
0000032  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   328  107331  107332  327.00000  327.33333  328.00000   149  108054  148.50000  148.83333  149.50000
0000033  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   328  107331  107332  327.00000  327.66667  328.00000   149  108054  148.50000  148.83333  149.50000
0000034  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   329  107332  107333  328.00000  328.00000  329.00000   149  108055  148.50000  148.83333  149.50000
