Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   317  107469  107470  316.50000  316.83333  317.50000   150  108193  149.00000  149.00000  150.00000
0000002  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   317  107469  107470  316.50000  317.16667  317.50000   150  108193  149.00000  149.00000  150.00000
0000003  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   318  107470  107471  317.50000  317.50000  318.50000   150  108194  149.00000  149.00000  150.00000
0000004  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   318  107470  107471  317.50000  317.83333  318.50000   150  108194  149.00000  149.00000  150.00000
0000005  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   318  107470  107471  317.50000  318.16667  318.50000   150  108194  149.00000  149.00000  150.00000
0000006  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   319  107471  107472  318.50000  318.50000  319.50000   150  108195  149.00000  149.00000  150.00000
0000007  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   319  107471  107472  318.50000  318.83333  319.50000   150  108195  149.00000  149.00000  150.00000
0000008  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   319  107471  107472  318.50000  319.16667  319.50000   150  108195  149.00000  149.00000  150.00000
0000009  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   320  107472  107473  319.50000  319.50000  320.50000   150  108196  149.00000  149.00000  150.00000
0000010  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   320  107472  107473  319.50000  319.83333  320.50000   150  108196  149.00000  149.00000  150.00000
0000011  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   320  107472  107473  319.50000  320.16667  320.50000   150  108196  149.00000  149.00000  150.00000
0000012  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   321  107473  107474  320.50000  320.50000  321.50000   150  108197  149.00000  149.00000  150.00000
0000013  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   321  107473  107474  320.50000  320.83333  321.50000   150  108197  149.00000  149.00000  150.00000
0000014  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   321  107473  107474  320.50000  321.16667  321.50000   150  108197  149.00000  149.00000  150.00000
0000015  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   322  107474  107475  321.50000  321.50000  322.50000   150  108198  149.00000  149.00000  150.00000
0000016  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   322  107474  107475  321.50000  321.83333  322.50000   150  108198  149.00000  149.00000  150.00000
0000017  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   322  107474  107475  321.50000  322.16667  322.50000   150  108198  149.00000  149.00000  150.00000
0000018  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   323  107475  107476  322.50000  322.50000  323.50000   150  108199  149.00000  149.00000  150.00000
0000019  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   323  107475  107476  322.50000  322.83333  323.50000   150  108199  149.00000  149.00000  150.00000
0000020  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   323  107475  107476  322.50000  323.16667  323.50000   150  108199  149.00000  149.00000  150.00000
0000021  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   324  107476  107477  323.50000  323.50000  324.50000   150  108200  149.00000  149.00000  150.00000
0000022  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   324  107476  107477  323.50000  323.83333  324.50000   150  108200  149.00000  149.00000  150.00000
0000023  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   324  107476  107477  323.50000  324.16667  324.50000   150  108200  149.00000  149.00000  150.00000
0000024  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   325  107477  107478  324.50000  324.50000  325.50000   150  108201  149.00000  149.00000  150.00000
