Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   317  107469  107470  316.50000  316.83333  317.50000   149  108193  148.50000  148.83333  149.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   317  107469  107470  316.50000  317.16667  317.50000   149  108193  148.50000  148.83333  149.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   318  107470  107471  317.50000  317.50000  318.50000   149  108194  148.50000  148.83333  149.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   318  107470  107471  317.50000  317.83333  318.50000   149  108194  148.50000  148.83333  149.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   318  107470  107471  317.50000  318.16667  318.50000   149  108194  148.50000  148.83333  149.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   319  107471  107472  318.50000  318.50000  319.50000   149  108195  148.50000  148.83333  149.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   319  107471  107472  318.50000  318.83333  319.50000   149  108195  148.50000  148.83333  149.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   319  107471  107472  318.50000  319.16667  319.50000   149  108195  148.50000  148.83333  149.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   320  107472  107473  319.50000  319.50000  320.50000   149  108196  148.50000  148.83333  149.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   320  107472  107473  319.50000  319.83333  320.50000   149  108196  148.50000  148.83333  149.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   320  107472  107473  319.50000  320.16667  320.50000   149  108196  148.50000  148.83333  149.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   321  107473  107474  320.50000  320.50000  321.50000   149  108197  148.50000  148.83333  149.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   321  107473  107474  320.50000  320.83333  321.50000   149  108197  148.50000  148.83333  149.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   321  107473  107474  320.50000  321.16667  321.50000   149  108197  148.50000  148.83333  149.50000
0000015  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   322  107474  107475  321.50000  321.50000  322.50000   149  108198  148.50000  148.83333  149.50000
0000016  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   322  107474  107475  321.50000  321.83333  322.50000   149  108198  148.50000  148.83333  149.50000
0000017  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   322  107474  107475  321.50000  322.16667  322.50000   149  108198  148.50000  148.83333  149.50000
0000018  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   323  107475  107476  322.50000  322.50000  323.50000   149  108199  148.50000  148.83333  149.50000
0000019  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   323  107475  107476  322.50000  322.83333  323.50000   149  108199  148.50000  148.83333  149.50000
0000020  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   323  107475  107476  322.50000  323.16667  323.50000   149  108199  148.50000  148.83333  149.50000
0000021  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   324  107476  107477  323.50000  323.50000  324.50000   149  108200  148.50000  148.83333  149.50000
0000022  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   324  107476  107477  323.50000  323.83333  324.50000   149  108200  148.50000  148.83333  149.50000
0000023  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   324  107476  107477  323.50000  324.16667  324.50000   149  108200  148.50000  148.83333  149.50000
0000024  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   325  107477  107478  324.50000  324.50000  325.50000   149  108201  148.50000  148.83333  149.50000
0000025  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   325  107477  107478  324.50000  324.83333  325.50000   149  108201  148.50000  148.83333  149.50000
0000026  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   325  107477  107478  324.50000  325.16667  325.50000   149  108201  148.50000  148.83333  149.50000
0000027  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   326  107478  107479  325.50000  325.50000  326.50000   149  108202  148.50000  148.83333  149.50000
0000028  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   326  107478  107479  325.50000  325.83333  326.50000   149  108202  148.50000  148.83333  149.50000
0000029  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   326  107478  107479  325.50000  326.16667  326.50000   149  108202  148.50000  148.83333  149.50000
0000030  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   327  107479  107480  326.50000  326.50000  327.50000   149  108203  148.50000  148.83333  149.50000
0000031  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   327  107479  107480  326.50000  326.83333  327.50000   149  108203  148.50000  148.83333  149.50000
0000032  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   327  107479  107480  326.50000  327.16667  327.50000   149  108203  148.50000  148.83333  149.50000
0000033  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   328  107480  107481  327.50000  327.50000  328.50000   149  108204  148.50000  148.83333  149.50000
0000034  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   328  107480  107481  327.50000  327.83333  328.50000   149  108204  148.50000  148.83333  149.50000
0000035  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   328  107480  107481  327.50000  328.16667  328.50000   149  108204  148.50000  148.83333  149.50000
0000036  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   329  107481  107482  328.50000  328.50000  329.50000   149  108205  148.50000  148.83333  149.50000
0000037  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   329  107481  107482  328.50000  328.83333  329.50000   149  108205  148.50000  148.83333  149.50000
0000038  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   329  107481  107482  328.50000  329.16667  329.50000   149  108205  148.50000  148.83333  149.50000
0000039  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   330  107482  107483  329.50000  329.50000  330.50000   149  108206  148.50000  148.83333  149.50000
0000040  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   330  107482  107483  329.50000  329.83333  330.50000   149  108206  148.50000  148.83333  149.50000
0000041  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   330  107482  107483  329.50000  330.16667  330.50000   149  108206  148.50000  148.83333  149.50000
0000042  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   331  107483  107484  330.50000  330.50000  331.50000   149  108207  148.50000  148.83333  149.50000
0000043  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   331  107483  107484  330.50000  330.83333  331.50000   149  108207  148.50000  148.83333  149.50000
