Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  1.20000e-01  8.00000e-02  3.20000e-01  4.80000e-01  1.00000e+00   318  107321  107322  317.00000  317.40000  318.00000   149  108044  148.50000  149.30000  149.50000
0000002  8.00000e-02  1.20000e-01  4.80000e-01  3.20000e-01  1.00000e+00   318  107321  107322  317.00000  317.60000  318.00000   149  108044  148.50000  149.30000  149.50000
0000003  4.00000e-02  1.60000e-01  6.40000e-01  1.60000e-01  1.00000e+00   318  107321  107322  317.00000  317.80000  318.00000   149  108044  148.50000  149.30000  149.50000
0000004  2.00000e-01  0.00000e+00  0.00000e+00  8.00000e-01  1.00000e+00   319  107322  107323  318.00000  318.00000  319.00000   149  108045  148.50000  149.30000  149.50000
0000005  1.60000e-01  4.00000e-02  1.60000e-01  6.40000e-01  1.00000e+00   319  107322  107323  318.00000  318.20000  319.00000   149  108045  148.50000  149.30000  149.50000
0000006  1.20000e-01  8.00000e-02  3.20000e-01  4.80000e-01  1.00000e+00   319  107322  107323  318.00000  318.40000  319.00000   149  108045  148.50000  149.30000  149.50000
0000007  8.00000e-02  1.20000e-01  4.80000e-01  3.20000e-01  1.00000e+00   319  107322  107323  318.00000  318.60000  319.00000   149  108045  148.50000  149.30000  149.50000
0000008  4.00000e-02  1.60000e-01  6.40000e-01  1.60000e-01  1.00000e+00   319  107322  107323  318.00000  318.80000  319.00000   149  108045  148.50000  149.30000  149.50000
0000009  2.00000e-01  0.00000e+00  0.00000e+00  8.00000e-01  1.00000e+00   320  107323  107324  319.00000  319.00000  320.00000   149  108046  148.50000  149.30000  149.50000
0000010  1.60000e-01  4.00000e-02  1.60000e-01  6.40000e-01  1.00000e+00   320  107323  107324  319.00000  319.20000  320.00000   149  108046  148.50000  149.30000  149.50000
