Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    98    9074    9075   97.50000   97.50000   98.50000    52    9250   51.50000   51.50000   52.50000
0000002  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    99    9075    9076   98.50000   98.50000   99.50000    52    9251   51.50000   51.50000   52.50000
0000003  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   100    9076    9077   99.50000   99.50000  100.50000    52    9252   51.50000   51.50000   52.50000
0000004  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9077    9078  100.50000  100.50000  101.50000    52    9253   51.50000   51.50000   52.50000
0000005  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9078    9079  101.50000  101.50000  102.50000    52    9254   51.50000   51.50000   52.50000
0000006  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103    9079    9080  102.50000  102.50000  103.50000    52    9255   51.50000   51.50000   52.50000
0000007  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104    9080    9081  103.50000  103.50000  104.50000    52    9256   51.50000   51.50000   52.50000
0000008  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9081    9082  104.50000  104.50000  105.50000    52    9257   51.50000   51.50000   52.50000
0000009  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   106    9082    9083  105.50000  105.50000  106.50000    52    9258   51.50000   51.50000   52.50000
0000010  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   107    9083    9084  106.50000  106.50000  107.50000    52    9259   51.50000   51.50000   52.50000
0000011  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   108    9084    9085  107.50000  107.50000  108.50000    52    9260   51.50000   51.50000   52.50000
0000012  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   109    9085    9086  108.50000  108.50000  109.50000    52    9261   51.50000   51.50000   52.50000
0000013  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   110    9086    9087  109.50000  109.50000  110.50000    52    9262   51.50000   51.50000   52.50000
0000014  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   111    9087    9088  110.50000  110.50000  111.50000    52    9263   51.50000   51.50000   52.50000
