Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    98    9074    9075   97.50000   97.50000   98.50000    53    9250   52.00000   52.00000   53.00000
0000002  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    99    9075    9076   98.50000   98.50000   99.50000    53    9251   52.00000   52.00000   53.00000
0000003  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   100    9076    9077   99.50000   99.50000  100.50000    53    9252   52.00000   52.00000   53.00000
0000004  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9077    9078  100.50000  100.50000  101.50000    53    9253   52.00000   52.00000   53.00000
0000005  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9078    9079  101.50000  101.50000  102.50000    53    9254   52.00000   52.00000   53.00000
0000006  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103    9079    9080  102.50000  102.50000  103.50000    53    9255   52.00000   52.00000   53.00000
0000007  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104    9080    9081  103.50000  103.50000  104.50000    53    9256   52.00000   52.00000   53.00000
0000008  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9081    9082  104.50000  104.50000  105.50000    53    9257   52.00000   52.00000   53.00000
0000009  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   106    9082    9083  105.50000  105.50000  106.50000    53    9258   52.00000   52.00000   53.00000
0000010  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   107    9083    9084  106.50000  106.50000  107.50000    53    9259   52.00000   52.00000   53.00000
0000011  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   108    9084    9085  107.50000  107.50000  108.50000    53    9260   52.00000   52.00000   53.00000
0000012  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   109    9085    9086  108.50000  108.50000  109.50000    53    9261   52.00000   52.00000   53.00000
0000013  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   110    9086    9087  109.50000  109.50000  110.50000    53    9262   52.00000   52.00000   53.00000
0000014  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   111    9087    9088  110.50000  110.50000  111.50000    53    9263   52.00000   52.00000   53.00000
0000015  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   112    9088    9089  111.50000  111.50000  112.50000    53    9264   52.00000   52.00000   53.00000
0000016  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   113    9089    9090  112.50000  112.50000  113.50000    53    9265   52.00000   52.00000   53.00000
0000017  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   114    9090    9091  113.50000  113.50000  114.50000    53    9266   52.00000   52.00000   53.00000
0000018  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   115    9091    9092  114.50000  114.50000  115.50000    53    9267   52.00000   52.00000   53.00000
0000019  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   116    9092    9093  115.50000  115.50000  116.50000    53    9268   52.00000   52.00000   53.00000
0000020  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   117    9093    9094  116.50000  116.50000  117.50000    53    9269   52.00000   52.00000   53.00000
0000021  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   118    9094    9095  117.50000  117.50000  118.50000    53    9270   52.00000   52.00000   53.00000
0000022  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   119    9095    9096  118.50000  118.50000  119.50000    53    9271   52.00000   52.00000   53.00000
0000023  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   120    9096    9097  119.50000  119.50000  120.50000    53    9272   52.00000   52.00000   53.00000
0000024  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   121    9097    9098  120.50000  120.50000  121.50000    53    9273   52.00000   52.00000   53.00000
0000025  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   122    9098    9099  121.50000  121.50000  122.50000    53    9274   52.00000   52.00000   53.00000
0000026  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   123    9099    9100  122.50000  122.50000  123.50000    53    9275   52.00000   52.00000   53.00000
0000027  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    98    9250    9251   97.50000   97.50000   98.50000    54    9426   53.00000   53.00000   54.00000
0000028  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00    99    9251    9252   98.50000   98.50000   99.50000    54    9427   53.00000   53.00000   54.00000
0000029  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   100    9252    9253   99.50000   99.50000  100.50000    54    9428   53.00000   53.00000   54.00000
0000030  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9253    9254  100.50000  100.50000  101.50000    54    9429   53.00000   53.00000   54.00000
0000031  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9254    9255  101.50000  101.50000  102.50000    54    9430   53.00000   53.00000   54.00000
0000032  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103    9255    9256  102.50000  102.50000  103.50000    54    9431   53.00000   53.00000   54.00000
0000033  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104    9256    9257  103.50000  103.50000  104.50000    54    9432   53.00000   53.00000   54.00000
0000034  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9257    9258  104.50000  104.50000  105.50000    54    9433   53.00000   53.00000   54.00000
0000035  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   106    9258    9259  105.50000  105.50000  106.50000    54    9434   53.00000   53.00000   54.00000
0000036  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   107    9259    9260  106.50000  106.50000  107.50000    54    9435   53.00000   53.00000   54.00000
0000037  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   108    9260    9261  107.50000  107.50000  108.50000    54    9436   53.00000   53.00000   54.00000
0000038  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   109    9261    9262  108.50000  108.50000  109.50000    54    9437   53.00000   53.00000   54.00000
0000039  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   110    9262    9263  109.50000  109.50000  110.50000    54    9438   53.00000   53.00000   54.00000
0000040  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   111    9263    9264  110.50000  110.50000  111.50000    54    9439   53.00000   53.00000   54.00000
0000041  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   112    9264    9265  111.50000  111.50000  112.50000    54    9440   53.00000   53.00000   54.00000
0000042  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   113    9265    9266  112.50000  112.50000  113.50000    54    9441   53.00000   53.00000   54.00000
0000043  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   114    9266    9267  113.50000  113.50000  114.50000    54    9442   53.00000   53.00000   54.00000
0000044  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   115    9267    9268  114.50000  114.50000  115.50000    54    9443   53.00000   53.00000   54.00000
0000045  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   116    9268    9269  115.50000  115.50000  116.50000    54    9444   53.00000   53.00000   54.00000
0000046  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   117    9269    9270  116.50000  116.50000  117.50000    54    9445   53.00000   53.00000   54.00000
0000047  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   118    9270    9271  117.50000  117.50000  118.50000    54    9446   53.00000   53.00000   54.00000
0000048  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   119    9271    9272  118.50000  118.50000  119.50000    54    9447   53.00000   53.00000   54.00000
0000049  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   120    9272    9273  119.50000  119.50000  120.50000    54    9448   53.00000   53.00000   54.00000
0000050  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   121    9273    9274  120.50000  120.50000  121.50000    54    9449   53.00000   53.00000   54.00000
0000051  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   122    9274    9275  121.50000  121.50000  122.50000    54    9450   53.00000   53.00000   54.00000
