Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   100    9428    9429   99.50000   99.83333  100.50000    54    9604   53.50000   53.83333   54.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   100    9428    9429   99.50000  100.16667  100.50000    54    9604   53.50000   53.83333   54.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9429    9430  100.50000  100.50000  101.50000    54    9605   53.50000   53.83333   54.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9429    9430  100.50000  100.83333  101.50000    54    9605   53.50000   53.83333   54.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101    9429    9430  100.50000  101.16667  101.50000    54    9605   53.50000   53.83333   54.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   102    9430    9431  101.50000  101.50000  102.50000    54    9606   53.50000   53.83333   54.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   102    9430    9431  101.50000  101.83333  102.50000    54    9606   53.50000   53.83333   54.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   102    9430    9431  101.50000  102.16667  102.50000    54    9606   53.50000   53.83333   54.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   103    9431    9432  102.50000  102.50000  103.50000    54    9607   53.50000   53.83333   54.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   103    9431    9432  102.50000  102.83333  103.50000    54    9607   53.50000   53.83333   54.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   103    9431    9432  102.50000  103.16667  103.50000    54    9607   53.50000   53.83333   54.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   104    9432    9433  103.50000  103.50000  104.50000    54    9608   53.50000   53.83333   54.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   104    9432    9433  103.50000  103.83333  104.50000    54    9608   53.50000   53.83333   54.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   104    9432    9433  103.50000  104.16667  104.50000    54    9608   53.50000   53.83333   54.50000
0000015  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9433    9434  104.50000  104.50000  105.50000    54    9609   53.50000   53.83333   54.50000
0000016  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9433    9434  104.50000  104.83333  105.50000    54    9609   53.50000   53.83333   54.50000
0000017  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   100    9428    9429   99.50000   99.83333  100.50000    54    9604   53.50000   54.16667   54.50000
0000018  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   100    9428    9429   99.50000  100.16667  100.50000    54    9604   53.50000   54.16667   54.50000
0000019  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   101    9429    9430  100.50000  100.50000  101.50000    54    9605   53.50000   54.16667   54.50000
0000020  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   101    9429    9430  100.50000  100.83333  101.50000    54    9605   53.50000   54.16667   54.50000
0000021  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   101    9429    9430  100.50000  101.16667  101.50000    54    9605   53.50000   54.16667   54.50000
0000022  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   102    9430    9431  101.50000  101.50000  102.50000    54    9606   53.50000   54.16667   54.50000
0000023  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   102    9430    9431  101.50000  101.83333  102.50000    54    9606   53.50000   54.16667   54.50000
0000024  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   102    9430    9431  101.50000  102.16667  102.50000    54    9606   53.50000   54.16667   54.50000
0000025  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   103    9431    9432  102.50000  102.50000  103.50000    54    9607   53.50000   54.16667   54.50000
0000026  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   103    9431    9432  102.50000  102.83333  103.50000    54    9607   53.50000   54.16667   54.50000
0000027  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   103    9431    9432  102.50000  103.16667  103.50000    54    9607   53.50000   54.16667   54.50000
0000028  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   104    9432    9433  103.50000  103.50000  104.50000    54    9608   53.50000   54.16667   54.50000
0000029  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   104    9432    9433  103.50000  103.83333  104.50000    54    9608   53.50000   54.16667   54.50000
0000030  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   104    9432    9433  103.50000  104.16667  104.50000    54    9608   53.50000   54.16667   54.50000
0000031  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   105    9433    9434  104.50000  104.50000  105.50000    54    9609   53.50000   54.16667   54.50000
0000032  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   105    9433    9434  104.50000  104.83333  105.50000    54    9609   53.50000   54.16667   54.50000
0000033  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9604    9605   99.50000   99.83333  100.50000    55    9780   54.50000   54.50000   55.50000
0000034  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9604    9605   99.50000  100.16667  100.50000    55    9780   54.50000   54.50000   55.50000
0000035  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9605    9606  100.50000  100.50000  101.50000    55    9781   54.50000   54.50000   55.50000
0000036  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9605    9606  100.50000  100.83333  101.50000    55    9781   54.50000   54.50000   55.50000
0000037  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9605    9606  100.50000  101.16667  101.50000    55    9781   54.50000   54.50000   55.50000
0000038  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9606    9607  101.50000  101.50000  102.50000    55    9782   54.50000   54.50000   55.50000
0000039  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9606    9607  101.50000  101.83333  102.50000    55    9782   54.50000   54.50000   55.50000
0000040  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9606    9607  101.50000  102.16667  102.50000    55    9782   54.50000   54.50000   55.50000
0000041  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103    9607    9608  102.50000  102.50000  103.50000    55    9783   54.50000   54.50000   55.50000
0000042  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9607    9608  102.50000  102.83333  103.50000    55    9783   54.50000   54.50000   55.50000
0000043  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9607    9608  102.50000  103.16667  103.50000    55    9783   54.50000   54.50000   55.50000
0000044  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104    9608    9609  103.50000  103.50000  104.50000    55    9784   54.50000   54.50000   55.50000
0000045  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9608    9609  103.50000  103.83333  104.50000    55    9784   54.50000   54.50000   55.50000
0000046  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9608    9609  103.50000  104.16667  104.50000    55    9784   54.50000   54.50000   55.50000
0000047  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9609    9610  104.50000  104.50000  105.50000    55    9785   54.50000   54.50000   55.50000
0000048  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9609    9610  104.50000  104.83333  105.50000    55    9785   54.50000   54.50000   55.50000
0000049  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   100    9604    9605   99.50000   99.83333  100.50000    55    9780   54.50000   54.83333   55.50000
0000050  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   100    9604    9605   99.50000  100.16667  100.50000    55    9780   54.50000   54.83333   55.50000
0000051  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9605    9606  100.50000  100.50000  101.50000    55    9781   54.50000   54.83333   55.50000
0000052  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9605    9606  100.50000  100.83333  101.50000    55    9781   54.50000   54.83333   55.50000
0000053  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101    9605    9606  100.50000  101.16667  101.50000    55    9781   54.50000   54.83333   55.50000
