Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9375    9376  100.00000  100.00000  101.00000    54    9550   53.50000   53.83333   54.50000
0000002  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9375    9376  100.00000  100.33333  101.00000    54    9550   53.50000   53.83333   54.50000
0000003  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101    9375    9376  100.00000  100.66667  101.00000    54    9550   53.50000   53.83333   54.50000
0000004  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   102    9376    9377  101.00000  101.00000  102.00000    54    9551   53.50000   53.83333   54.50000
0000005  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   102    9376    9377  101.00000  101.33333  102.00000    54    9551   53.50000   53.83333   54.50000
0000006  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   102    9376    9377  101.00000  101.66667  102.00000    54    9551   53.50000   53.83333   54.50000
0000007  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   103    9377    9378  102.00000  102.00000  103.00000    54    9552   53.50000   53.83333   54.50000
0000008  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   103    9377    9378  102.00000  102.33333  103.00000    54    9552   53.50000   53.83333   54.50000
0000009  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   103    9377    9378  102.00000  102.66667  103.00000    54    9552   53.50000   53.83333   54.50000
0000010  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   104    9378    9379  103.00000  103.00000  104.00000    54    9553   53.50000   53.83333   54.50000
0000011  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   104    9378    9379  103.00000  103.33333  104.00000    54    9553   53.50000   53.83333   54.50000
0000012  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   104    9378    9379  103.00000  103.66667  104.00000    54    9553   53.50000   53.83333   54.50000
0000013  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9379    9380  104.00000  104.00000  105.00000    54    9554   53.50000   53.83333   54.50000
0000014  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9379    9380  104.00000  104.33333  105.00000    54    9554   53.50000   53.83333   54.50000
0000015  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   105    9379    9380  104.00000  104.66667  105.00000    54    9554   53.50000   53.83333   54.50000
0000016  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   101    9375    9376  100.00000  100.00000  101.00000    54    9550   53.50000   54.16667   54.50000
