Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9428    9429   99.50000   99.83333  100.50000    55    9604   54.00000   54.00000   55.00000
0000002  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9428    9429   99.50000  100.16667  100.50000    55    9604   54.00000   54.00000   55.00000
0000003  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9429    9430  100.50000  100.50000  101.50000    55    9605   54.00000   54.00000   55.00000
0000004  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9429    9430  100.50000  100.83333  101.50000    55    9605   54.00000   54.00000   55.00000
0000005  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9429    9430  100.50000  101.16667  101.50000    55    9605   54.00000   54.00000   55.00000
0000006  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9430    9431  101.50000  101.50000  102.50000    55    9606   54.00000   54.00000   55.00000
0000007  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9430    9431  101.50000  101.83333  102.50000    55    9606   54.00000   54.00000   55.00000
0000008  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9430    9431  101.50000  102.16667  102.50000    55    9606   54.00000   54.00000   55.00000
0000009  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103    9431    9432  102.50000  102.50000  103.50000    55    9607   54.00000   54.00000   55.00000
0000010  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9431    9432  102.50000  102.83333  103.50000    55    9607   54.00000   54.00000   55.00000
0000011  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9431    9432  102.50000  103.16667  103.50000    55    9607   54.00000   54.00000   55.00000
0000012  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104    9432    9433  103.50000  103.50000  104.50000    55    9608   54.00000   54.00000   55.00000
0000013  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9432    9433  103.50000  103.83333  104.50000    55    9608   54.00000   54.00000   55.00000
0000014  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9432    9433  103.50000  104.16667  104.50000    55    9608   54.00000   54.00000   55.00000
0000015  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9433    9434  104.50000  104.50000  105.50000    55    9609   54.00000   54.00000   55.00000
0000016  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9433    9434  104.50000  104.83333  105.50000    55    9609   54.00000   54.00000   55.00000
0000017  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   100    9428    9429   99.50000   99.83333  100.50000    55    9604   54.00000   54.33333   55.00000
0000018  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   100    9428    9429   99.50000  100.16667  100.50000    55    9604   54.00000   54.33333   55.00000
0000019  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9429    9430  100.50000  100.50000  101.50000    55    9605   54.00000   54.33333   55.00000
0000020  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9429    9430  100.50000  100.83333  101.50000    55    9605   54.00000   54.33333   55.00000
0000021  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101    9429    9430  100.50000  101.16667  101.50000    55    9605   54.00000   54.33333   55.00000
0000022  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   102    9430    9431  101.50000  101.50000  102.50000    55    9606   54.00000   54.33333   55.00000
0000023  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   102    9430    9431  101.50000  101.83333  102.50000    55    9606   54.00000   54.33333   55.00000
0000024  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   102    9430    9431  101.50000  102.16667  102.50000    55    9606   54.00000   54.33333   55.00000
0000025  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   103    9431    9432  102.50000  102.50000  103.50000    55    9607   54.00000   54.33333   55.00000
0000026  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   103    9431    9432  102.50000  102.83333  103.50000    55    9607   54.00000   54.33333   55.00000
0000027  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   103    9431    9432  102.50000  103.16667  103.50000    55    9607   54.00000   54.33333   55.00000
0000028  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   104    9432    9433  103.50000  103.50000  104.50000    55    9608   54.00000   54.33333   55.00000
0000029  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   104    9432    9433  103.50000  103.83333  104.50000    55    9608   54.00000   54.33333   55.00000
0000030  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   104    9432    9433  103.50000  104.16667  104.50000    55    9608   54.00000   54.33333   55.00000
0000031  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9433    9434  104.50000  104.50000  105.50000    55    9609   54.00000   54.33333   55.00000
0000032  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9433    9434  104.50000  104.83333  105.50000    55    9609   54.00000   54.33333   55.00000
0000033  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   100    9428    9429   99.50000   99.83333  100.50000    55    9604   54.00000   54.66667   55.00000
0000034  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   100    9428    9429   99.50000  100.16667  100.50000    55    9604   54.00000   54.66667   55.00000
0000035  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   101    9429    9430  100.50000  100.50000  101.50000    55    9605   54.00000   54.66667   55.00000
0000036  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   101    9429    9430  100.50000  100.83333  101.50000    55    9605   54.00000   54.66667   55.00000
0000037  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   101    9429    9430  100.50000  101.16667  101.50000    55    9605   54.00000   54.66667   55.00000
0000038  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   102    9430    9431  101.50000  101.50000  102.50000    55    9606   54.00000   54.66667   55.00000
0000039  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   102    9430    9431  101.50000  101.83333  102.50000    55    9606   54.00000   54.66667   55.00000
0000040  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   102    9430    9431  101.50000  102.16667  102.50000    55    9606   54.00000   54.66667   55.00000
0000041  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   103    9431    9432  102.50000  102.50000  103.50000    55    9607   54.00000   54.66667   55.00000
0000042  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   103    9431    9432  102.50000  102.83333  103.50000    55    9607   54.00000   54.66667   55.00000
0000043  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   103    9431    9432  102.50000  103.16667  103.50000    55    9607   54.00000   54.66667   55.00000
0000044  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   104    9432    9433  103.50000  103.50000  104.50000    55    9608   54.00000   54.66667   55.00000
0000045  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   104    9432    9433  103.50000  103.83333  104.50000    55    9608   54.00000   54.66667   55.00000
0000046  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   104    9432    9433  103.50000  104.16667  104.50000    55    9608   54.00000   54.66667   55.00000
0000047  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   105    9433    9434  104.50000  104.50000  105.50000    55    9609   54.00000   54.66667   55.00000
0000048  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   105    9433    9434  104.50000  104.83333  105.50000    55    9609   54.00000   54.66667   55.00000
0000049  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9604    9605   99.50000   99.83333  100.50000    56    9780   55.00000   55.00000   56.00000
0000050  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9604    9605   99.50000  100.16667  100.50000    56    9780   55.00000   55.00000   56.00000
0000051  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9605    9606  100.50000  100.50000  101.50000    56    9781   55.00000   55.00000   56.00000
0000052  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9605    9606  100.50000  100.83333  101.50000    56    9781   55.00000   55.00000   56.00000
0000053  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9605    9606  100.50000  101.16667  101.50000    56    9781   55.00000   55.00000   56.00000
0000054  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9606    9607  101.50000  101.50000  102.50000    56    9782   55.00000   55.00000   56.00000
0000055  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9606    9607  101.50000  101.83333  102.50000    56    9782   55.00000   55.00000   56.00000
0000056  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9606    9607  101.50000  102.16667  102.50000    56    9782   55.00000   55.00000   56.00000
0000057  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103    9607    9608  102.50000  102.50000  103.50000    56    9783   55.00000   55.00000   56.00000
0000058  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9607    9608  102.50000  102.83333  103.50000    56    9783   55.00000   55.00000   56.00000
0000059  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9607    9608  102.50000  103.16667  103.50000    56    9783   55.00000   55.00000   56.00000
0000060  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104    9608    9609  103.50000  103.50000  104.50000    56    9784   55.00000   55.00000   56.00000
0000061  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9608    9609  103.50000  103.83333  104.50000    56    9784   55.00000   55.00000   56.00000
0000062  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9608    9609  103.50000  104.16667  104.50000    56    9784   55.00000   55.00000   56.00000
0000063  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9609    9610  104.50000  104.50000  105.50000    56    9785   55.00000   55.00000   56.00000
0000064  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9609    9610  104.50000  104.83333  105.50000    56    9785   55.00000   55.00000   56.00000
0000065  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   100    9604    9605   99.50000   99.83333  100.50000    56    9780   55.00000   55.33333   56.00000
0000066  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   100    9604    9605   99.50000  100.16667  100.50000    56    9780   55.00000   55.33333   56.00000
0000067  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9605    9606  100.50000  100.50000  101.50000    56    9781   55.00000   55.33333   56.00000
0000068  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9605    9606  100.50000  100.83333  101.50000    56    9781   55.00000   55.33333   56.00000
0000069  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   104    9608    9609  103.50000  104.16667  104.50000    56    9784   55.00000   55.33333   56.00000
0000070  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9609    9610  104.50000  104.50000  105.50000    56    9785   55.00000   55.33333   56.00000
0000071  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9609    9610  104.50000  104.83333  105.50000    56    9785   55.00000   55.33333   56.00000
0000072  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   100    9604    9605   99.50000   99.83333  100.50000    56    9780   55.00000   55.66667   56.00000
0000073  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   100    9604    9605   99.50000  100.16667  100.50000    56    9780   55.00000   55.66667   56.00000
0000074  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   101    9605    9606  100.50000  100.50000  101.50000    56    9781   55.00000   55.66667   56.00000
0000075  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   101    9605    9606  100.50000  100.83333  101.50000    56    9781   55.00000   55.66667   56.00000
0000076  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   104    9608    9609  103.50000  104.16667  104.50000    56    9784   55.00000   55.66667   56.00000
0000077  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   105    9609    9610  104.50000  104.50000  105.50000    56    9785   55.00000   55.66667   56.00000
0000078  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   105    9609    9610  104.50000  104.83333  105.50000    56    9785   55.00000   55.66667   56.00000
0000079  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9780    9781   99.50000   99.83333  100.50000    57    9956   56.00000   56.00000   57.00000
0000080  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9780    9781   99.50000  100.16667  100.50000    57    9956   56.00000   56.00000   57.00000
0000081  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9781    9782  100.50000  100.50000  101.50000    57    9957   56.00000   56.00000   57.00000
0000082  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9781    9782  100.50000  100.83333  101.50000    57    9957   56.00000   56.00000   57.00000
0000083  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9784    9785  103.50000  104.16667  104.50000    57    9960   56.00000   56.00000   57.00000
0000084  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9785    9786  104.50000  104.50000  105.50000    57    9961   56.00000   56.00000   57.00000
0000085  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9785    9786  104.50000  104.83333  105.50000    57    9961   56.00000   56.00000   57.00000
0000086  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   100    9780    9781   99.50000   99.83333  100.50000    57    9956   56.00000   56.33333   57.00000
0000087  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   100    9780    9781   99.50000  100.16667  100.50000    57    9956   56.00000   56.33333   57.00000
0000088  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9781    9782  100.50000  100.50000  101.50000    57    9957   56.00000   56.33333   57.00000
0000089  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9781    9782  100.50000  100.83333  101.50000    57    9957   56.00000   56.33333   57.00000
0000090  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   104    9784    9785  103.50000  104.16667  104.50000    57    9960   56.00000   56.33333   57.00000
0000091  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9785    9786  104.50000  104.50000  105.50000    57    9961   56.00000   56.33333   57.00000
0000092  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9785    9786  104.50000  104.83333  105.50000    57    9961   56.00000   56.33333   57.00000
0000093  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   100    9780    9781   99.50000   99.83333  100.50000    57    9956   56.00000   56.66667   57.00000
0000094  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   100    9780    9781   99.50000  100.16667  100.50000    57    9956   56.00000   56.66667   57.00000
0000095  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   101    9781    9782  100.50000  100.50000  101.50000    57    9957   56.00000   56.66667   57.00000
