Interpolation Weights at V-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9428    9429   99.50000   99.83333  100.50000    55    9604   54.00000   54.00000   55.00000
0000002  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   100    9428    9429   99.50000  100.16667  100.50000    55    9604   54.00000   54.00000   55.00000
0000003  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   101    9429    9430  100.50000  100.50000  101.50000    55    9605   54.00000   54.00000   55.00000
0000004  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9429    9430  100.50000  100.83333  101.50000    55    9605   54.00000   54.00000   55.00000
0000005  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   101    9429    9430  100.50000  101.16667  101.50000    55    9605   54.00000   54.00000   55.00000
0000006  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   102    9430    9431  101.50000  101.50000  102.50000    55    9606   54.00000   54.00000   55.00000
0000007  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9430    9431  101.50000  101.83333  102.50000    55    9606   54.00000   54.00000   55.00000
0000008  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   102    9430    9431  101.50000  102.16667  102.50000    55    9606   54.00000   54.00000   55.00000
0000009  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   103    9431    9432  102.50000  102.50000  103.50000    55    9607   54.00000   54.00000   55.00000
0000010  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9431    9432  102.50000  102.83333  103.50000    55    9607   54.00000   54.00000   55.00000
0000011  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   103    9431    9432  102.50000  103.16667  103.50000    55    9607   54.00000   54.00000   55.00000
0000012  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   104    9432    9433  103.50000  103.50000  104.50000    55    9608   54.00000   54.00000   55.00000
0000013  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9432    9433  103.50000  103.83333  104.50000    55    9608   54.00000   54.00000   55.00000
0000014  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   104    9432    9433  103.50000  104.16667  104.50000    55    9608   54.00000   54.00000   55.00000
0000015  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   105    9433    9434  104.50000  104.50000  105.50000    55    9609   54.00000   54.00000   55.00000
0000016  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9433    9434  104.50000  104.83333  105.50000    55    9609   54.00000   54.00000   55.00000
0000017  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   105    9433    9434  104.50000  105.16667  105.50000    55    9609   54.00000   54.00000   55.00000
0000018  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   106    9434    9435  105.50000  105.50000  106.50000    55    9610   54.00000   54.00000   55.00000
0000019  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   106    9434    9435  105.50000  105.83333  106.50000    55    9610   54.00000   54.00000   55.00000
0000020  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   106    9434    9435  105.50000  106.16667  106.50000    55    9610   54.00000   54.00000   55.00000
0000021  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   107    9435    9436  106.50000  106.50000  107.50000    55    9611   54.00000   54.00000   55.00000
0000022  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   107    9435    9436  106.50000  106.83333  107.50000    55    9611   54.00000   54.00000   55.00000
0000023  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   107    9435    9436  106.50000  107.16667  107.50000    55    9611   54.00000   54.00000   55.00000
0000024  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   108    9436    9437  107.50000  107.50000  108.50000    55    9612   54.00000   54.00000   55.00000
0000025  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   108    9436    9437  107.50000  107.83333  108.50000    55    9612   54.00000   54.00000   55.00000
0000026  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   108    9436    9437  107.50000  108.16667  108.50000    55    9612   54.00000   54.00000   55.00000
0000027  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   109    9437    9438  108.50000  108.50000  109.50000    55    9613   54.00000   54.00000   55.00000
0000028  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   109    9437    9438  108.50000  108.83333  109.50000    55    9613   54.00000   54.00000   55.00000
0000029  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   109    9437    9438  108.50000  109.16667  109.50000    55    9613   54.00000   54.00000   55.00000
0000030  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   110    9438    9439  109.50000  109.50000  110.50000    55    9614   54.00000   54.00000   55.00000
0000031  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   110    9438    9439  109.50000  109.83333  110.50000    55    9614   54.00000   54.00000   55.00000
0000032  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   110    9438    9439  109.50000  110.16667  110.50000    55    9614   54.00000   54.00000   55.00000
0000033  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   111    9439    9440  110.50000  110.50000  111.50000    55    9615   54.00000   54.00000   55.00000
0000034  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   111    9439    9440  110.50000  110.83333  111.50000    55    9615   54.00000   54.00000   55.00000
0000035  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   111    9439    9440  110.50000  111.16667  111.50000    55    9615   54.00000   54.00000   55.00000
0000036  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   112    9440    9441  111.50000  111.50000  112.50000    55    9616   54.00000   54.00000   55.00000
0000037  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   112    9440    9441  111.50000  111.83333  112.50000    55    9616   54.00000   54.00000   55.00000
0000038  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   112    9440    9441  111.50000  112.16667  112.50000    55    9616   54.00000   54.00000   55.00000
0000039  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   113    9441    9442  112.50000  112.50000  113.50000    55    9617   54.00000   54.00000   55.00000
0000040  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   113    9441    9442  112.50000  112.83333  113.50000    55    9617   54.00000   54.00000   55.00000
0000041  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   113    9441    9442  112.50000  113.16667  113.50000    55    9617   54.00000   54.00000   55.00000
0000042  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   114    9442    9443  113.50000  113.50000  114.50000    55    9618   54.00000   54.00000   55.00000
0000043  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   114    9442    9443  113.50000  113.83333  114.50000    55    9618   54.00000   54.00000   55.00000
0000044  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   114    9442    9443  113.50000  114.16667  114.50000    55    9618   54.00000   54.00000   55.00000
0000045  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   115    9443    9444  114.50000  114.50000  115.50000    55    9619   54.00000   54.00000   55.00000
0000046  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   115    9443    9444  114.50000  114.83333  115.50000    55    9619   54.00000   54.00000   55.00000
0000047  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   115    9443    9444  114.50000  115.16667  115.50000    55    9619   54.00000   54.00000   55.00000
0000048  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   116    9444    9445  115.50000  115.50000  116.50000    55    9620   54.00000   54.00000   55.00000
0000049  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   116    9444    9445  115.50000  115.83333  116.50000    55    9620   54.00000   54.00000   55.00000
0000050  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   116    9444    9445  115.50000  116.16667  116.50000    55    9620   54.00000   54.00000   55.00000
0000051  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   117    9445    9446  116.50000  116.50000  117.50000    55    9621   54.00000   54.00000   55.00000
0000052  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   117    9445    9446  116.50000  116.83333  117.50000    55    9621   54.00000   54.00000   55.00000
0000053  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   117    9445    9446  116.50000  117.16667  117.50000    55    9621   54.00000   54.00000   55.00000
0000054  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   118    9446    9447  117.50000  117.50000  118.50000    55    9622   54.00000   54.00000   55.00000
0000055  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   118    9446    9447  117.50000  117.83333  118.50000    55    9622   54.00000   54.00000   55.00000
0000056  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   118    9446    9447  117.50000  118.16667  118.50000    55    9622   54.00000   54.00000   55.00000
0000057  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   119    9447    9448  118.50000  118.50000  119.50000    55    9623   54.00000   54.00000   55.00000
0000058  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   119    9447    9448  118.50000  118.83333  119.50000    55    9623   54.00000   54.00000   55.00000
0000059  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   119    9447    9448  118.50000  119.16667  119.50000    55    9623   54.00000   54.00000   55.00000
0000060  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   120    9448    9449  119.50000  119.50000  120.50000    55    9624   54.00000   54.00000   55.00000
0000061  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   120    9448    9449  119.50000  119.83333  120.50000    55    9624   54.00000   54.00000   55.00000
0000062  3.33333e-01  6.66667e-01  0.00000e+00  0.00000e+00  1.00000e+00   120    9448    9449  119.50000  120.16667  120.50000    55    9624   54.00000   54.00000   55.00000
0000063  1.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+00   121    9449    9450  120.50000  120.50000  121.50000    55    9625   54.00000   54.00000   55.00000
0000064  6.66667e-01  3.33333e-01  0.00000e+00  0.00000e+00  1.00000e+00   121    9449    9450  120.50000  120.83333  121.50000    55    9625   54.00000   54.00000   55.00000
0000065  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   100    9428    9429   99.50000   99.83333  100.50000    55    9604   54.00000   54.33333   55.00000
0000066  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   100    9428    9429   99.50000  100.16667  100.50000    55    9604   54.00000   54.33333   55.00000
0000067  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9429    9430  100.50000  100.50000  101.50000    55    9605   54.00000   54.33333   55.00000
0000068  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9429    9430  100.50000  100.83333  101.50000    55    9605   54.00000   54.33333   55.00000
0000069  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101    9429    9430  100.50000  101.16667  101.50000    55    9605   54.00000   54.33333   55.00000
0000070  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   102    9430    9431  101.50000  101.50000  102.50000    55    9606   54.00000   54.33333   55.00000
0000071  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   102    9430    9431  101.50000  101.83333  102.50000    55    9606   54.00000   54.33333   55.00000
0000072  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   102    9430    9431  101.50000  102.16667  102.50000    55    9606   54.00000   54.33333   55.00000
0000073  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   103    9431    9432  102.50000  102.50000  103.50000    55    9607   54.00000   54.33333   55.00000
0000074  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   103    9431    9432  102.50000  102.83333  103.50000    55    9607   54.00000   54.33333   55.00000
0000075  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   103    9431    9432  102.50000  103.16667  103.50000    55    9607   54.00000   54.33333   55.00000
0000076  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   104    9432    9433  103.50000  103.50000  104.50000    55    9608   54.00000   54.33333   55.00000
0000077  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   104    9432    9433  103.50000  103.83333  104.50000    55    9608   54.00000   54.33333   55.00000
0000078  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   104    9432    9433  103.50000  104.16667  104.50000    55    9608   54.00000   54.33333   55.00000
0000079  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9433    9434  104.50000  104.50000  105.50000    55    9609   54.00000   54.33333   55.00000
0000080  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9433    9434  104.50000  104.83333  105.50000    55    9609   54.00000   54.33333   55.00000
0000081  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   105    9433    9434  104.50000  105.16667  105.50000    55    9609   54.00000   54.33333   55.00000
0000082  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   106    9434    9435  105.50000  105.50000  106.50000    55    9610   54.00000   54.33333   55.00000
0000083  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   106    9434    9435  105.50000  105.83333  106.50000    55    9610   54.00000   54.33333   55.00000
0000084  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   106    9434    9435  105.50000  106.16667  106.50000    55    9610   54.00000   54.33333   55.00000
0000085  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   107    9435    9436  106.50000  106.50000  107.50000    55    9611   54.00000   54.33333   55.00000
0000086  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   107    9435    9436  106.50000  106.83333  107.50000    55    9611   54.00000   54.33333   55.00000
0000087  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   107    9435    9436  106.50000  107.16667  107.50000    55    9611   54.00000   54.33333   55.00000
0000088  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   108    9436    9437  107.50000  107.50000  108.50000    55    9612   54.00000   54.33333   55.00000
0000089  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   108    9436    9437  107.50000  107.83333  108.50000    55    9612   54.00000   54.33333   55.00000
0000090  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   108    9436    9437  107.50000  108.16667  108.50000    55    9612   54.00000   54.33333   55.00000
0000091  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   109    9437    9438  108.50000  108.50000  109.50000    55    9613   54.00000   54.33333   55.00000
0000092  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   109    9437    9438  108.50000  108.83333  109.50000    55    9613   54.00000   54.33333   55.00000
0000093  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   109    9437    9438  108.50000  109.16667  109.50000    55    9613   54.00000   54.33333   55.00000
0000094  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   110    9438    9439  109.50000  109.50000  110.50000    55    9614   54.00000   54.33333   55.00000
0000095  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   110    9438    9439  109.50000  109.83333  110.50000    55    9614   54.00000   54.33333   55.00000
