Interpolation Weights at RHO-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   100    9428    9429   99.50000   99.83333  100.50000    54    9604   53.50000   53.83333   54.50000
0000002  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   100    9428    9429   99.50000  100.16667  100.50000    54    9604   53.50000   53.83333   54.50000
0000003  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   101    9429    9430  100.50000  100.50000  101.50000    54    9605   53.50000   53.83333   54.50000
0000004  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   101    9429    9430  100.50000  100.83333  101.50000    54    9605   53.50000   53.83333   54.50000
0000005  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   101    9429    9430  100.50000  101.16667  101.50000    54    9605   53.50000   53.83333   54.50000
0000006  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   102    9430    9431  101.50000  101.50000  102.50000    54    9606   53.50000   53.83333   54.50000
0000007  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   102    9430    9431  101.50000  101.83333  102.50000    54    9606   53.50000   53.83333   54.50000
0000008  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   102    9430    9431  101.50000  102.16667  102.50000    54    9606   53.50000   53.83333   54.50000
0000009  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   103    9431    9432  102.50000  102.50000  103.50000    54    9607   53.50000   53.83333   54.50000
0000010  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   103    9431    9432  102.50000  102.83333  103.50000    54    9607   53.50000   53.83333   54.50000
0000011  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   103    9431    9432  102.50000  103.16667  103.50000    54    9607   53.50000   53.83333   54.50000
0000012  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   104    9432    9433  103.50000  103.50000  104.50000    54    9608   53.50000   53.83333   54.50000
0000013  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   104    9432    9433  103.50000  103.83333  104.50000    54    9608   53.50000   53.83333   54.50000
0000014  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   104    9432    9433  103.50000  104.16667  104.50000    54    9608   53.50000   53.83333   54.50000
0000015  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   105    9433    9434  104.50000  104.50000  105.50000    54    9609   53.50000   53.83333   54.50000
0000016  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   105    9433    9434  104.50000  104.83333  105.50000    54    9609   53.50000   53.83333   54.50000
0000017  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   105    9433    9434  104.50000  105.16667  105.50000    54    9609   53.50000   53.83333   54.50000
0000018  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   106    9434    9435  105.50000  105.50000  106.50000    54    9610   53.50000   53.83333   54.50000
0000019  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   106    9434    9435  105.50000  105.83333  106.50000    54    9610   53.50000   53.83333   54.50000
0000020  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   106    9434    9435  105.50000  106.16667  106.50000    54    9610   53.50000   53.83333   54.50000
0000021  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   107    9435    9436  106.50000  106.50000  107.50000    54    9611   53.50000   53.83333   54.50000
0000022  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   107    9435    9436  106.50000  106.83333  107.50000    54    9611   53.50000   53.83333   54.50000
0000023  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   107    9435    9436  106.50000  107.16667  107.50000    54    9611   53.50000   53.83333   54.50000
0000024  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   108    9436    9437  107.50000  107.50000  108.50000    54    9612   53.50000   53.83333   54.50000
0000025  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   108    9436    9437  107.50000  107.83333  108.50000    54    9612   53.50000   53.83333   54.50000
0000026  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   108    9436    9437  107.50000  108.16667  108.50000    54    9612   53.50000   53.83333   54.50000
0000027  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   109    9437    9438  108.50000  108.50000  109.50000    54    9613   53.50000   53.83333   54.50000
0000028  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   109    9437    9438  108.50000  108.83333  109.50000    54    9613   53.50000   53.83333   54.50000
0000029  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   109    9437    9438  108.50000  109.16667  109.50000    54    9613   53.50000   53.83333   54.50000
0000030  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   110    9438    9439  109.50000  109.50000  110.50000    54    9614   53.50000   53.83333   54.50000
0000031  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   110    9438    9439  109.50000  109.83333  110.50000    54    9614   53.50000   53.83333   54.50000
0000032  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   110    9438    9439  109.50000  110.16667  110.50000    54    9614   53.50000   53.83333   54.50000
0000033  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   111    9439    9440  110.50000  110.50000  111.50000    54    9615   53.50000   53.83333   54.50000
0000034  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   111    9439    9440  110.50000  110.83333  111.50000    54    9615   53.50000   53.83333   54.50000
0000035  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   111    9439    9440  110.50000  111.16667  111.50000    54    9615   53.50000   53.83333   54.50000
0000036  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   112    9440    9441  111.50000  111.50000  112.50000    54    9616   53.50000   53.83333   54.50000
0000037  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   112    9440    9441  111.50000  111.83333  112.50000    54    9616   53.50000   53.83333   54.50000
0000038  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   112    9440    9441  111.50000  112.16667  112.50000    54    9616   53.50000   53.83333   54.50000
0000039  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   113    9441    9442  112.50000  112.50000  113.50000    54    9617   53.50000   53.83333   54.50000
0000040  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   113    9441    9442  112.50000  112.83333  113.50000    54    9617   53.50000   53.83333   54.50000
0000041  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   113    9441    9442  112.50000  113.16667  113.50000    54    9617   53.50000   53.83333   54.50000
0000042  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   114    9442    9443  113.50000  113.50000  114.50000    54    9618   53.50000   53.83333   54.50000
0000043  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   114    9442    9443  113.50000  113.83333  114.50000    54    9618   53.50000   53.83333   54.50000
0000044  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   114    9442    9443  113.50000  114.16667  114.50000    54    9618   53.50000   53.83333   54.50000
0000045  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   115    9443    9444  114.50000  114.50000  115.50000    54    9619   53.50000   53.83333   54.50000
0000046  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   115    9443    9444  114.50000  114.83333  115.50000    54    9619   53.50000   53.83333   54.50000
0000047  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   115    9443    9444  114.50000  115.16667  115.50000    54    9619   53.50000   53.83333   54.50000
0000048  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   116    9444    9445  115.50000  115.50000  116.50000    54    9620   53.50000   53.83333   54.50000
0000049  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   116    9444    9445  115.50000  115.83333  116.50000    54    9620   53.50000   53.83333   54.50000
0000050  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   116    9444    9445  115.50000  116.16667  116.50000    54    9620   53.50000   53.83333   54.50000
0000051  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   117    9445    9446  116.50000  116.50000  117.50000    54    9621   53.50000   53.83333   54.50000
0000052  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   117    9445    9446  116.50000  116.83333  117.50000    54    9621   53.50000   53.83333   54.50000
0000053  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   117    9445    9446  116.50000  117.16667  117.50000    54    9621   53.50000   53.83333   54.50000
